file,class,method,variable,usage
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,setPinNumber/1[int],pinNumber,4
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcSavingWithdraw/1[double],savingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcSavingDeposit/1[double],savingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getSavingBalance/0,savingBalance,1
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingBalance/0,checkingBalance,1
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],input,5
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],checkingBalance,5
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],savingBalance,5
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],moneyFormat,6
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCustomerNumber/0,customerNumber,1
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcCheckingWithdraw/1[double],checkingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcCheckTransfer/1[double],checkingBalance,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcCheckTransfer/1[double],savingBalance,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/4[int,int,double,double]",checkingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/4[int,int,double,double]",savingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/4[int,int,double,double]",pinNumber,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/4[int,int,double,double]",customerNumber,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingDepositInput/0,input,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingDepositInput/0,checkingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingDepositInput/0,moneyFormat,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getSavingDepositInput/0,input,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getSavingDepositInput/0,savingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getSavingDepositInput/0,moneyFormat,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingWithdrawInput/0,input,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingWithdrawInput/0,checkingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingWithdrawInput/0,moneyFormat,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getPinNumber/0,pinNumber,1
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,setCustomerNumber/1[int],customerNumber,4
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcSavingTransfer/1[double],checkingBalance,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcSavingTransfer/1[double],savingBalance,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcCheckingDeposit/1[double],checkingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/2[int,int]",pinNumber,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/2[int,int]",customerNumber,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getsavingWithdrawInput/0,input,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getsavingWithdrawInput/0,savingBalance,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getsavingWithdrawInput/0,moneyFormat,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,data,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,menuInput,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,mainMenu/0,data,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,mainMenu/0,menuInput,3
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,createAccount/0,data,3
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,createAccount/0,menuInput,3
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getAccountType/1[Account],menuInput,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getSaving/1[Account],moneyFormat,1
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getSaving/1[Account],menuInput,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getChecking/1[Account],moneyFormat,1
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getChecking/1[Account],menuInput,2
