file,class,method,variable,usage
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,setPinNumber/1[int],pinNumber,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcSavingWithdraw/1[double],amount,1
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcSavingDeposit/1[double],amount,1
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],amount,9
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],e,0
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],end,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],accType,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getTransferInput/1[java.lang.String],choice,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcCheckingWithdraw/1[double],amount,1
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcCheckTransfer/1[double],amount,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/4[int,int,double,double]",checkingBalance,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/4[int,int,double,double]",savingBalance,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/4[int,int,double,double]",pinNumber,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/4[int,int,double,double]",customerNumber,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingDepositInput/0,amount,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingDepositInput/0,e,0
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingDepositInput/0,end,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getSavingDepositInput/0,amount,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getSavingDepositInput/0,e,0
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getSavingDepositInput/0,end,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingWithdrawInput/0,amount,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingWithdrawInput/0,e,0
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getCheckingWithdrawInput/0,end,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,setCustomerNumber/1[int],customerNumber,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcSavingTransfer/1[double],amount,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,calcCheckingDeposit/1[double],amount,1
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/2[int,int]",pinNumber,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,"Account/2[int,int]",customerNumber,2
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getsavingWithdrawInput/0,amount,3
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getsavingWithdrawInput/0,e,0
C:\OOD\Java\ATM-Machine-master\ATM\Account.java,Account,getsavingWithdrawInput/0,end,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,acc,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,e,0
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,pinNumber,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,end,3
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,it,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,customerNumber,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getLogin/0,pair,1
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,mainMenu/0,e,0
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,mainMenu/0,end,3
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,mainMenu/0,choice,1
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,createAccount/0,pin,1
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,createAccount/0,e,0
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,createAccount/0,cst_no,4
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,createAccount/0,end,3
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,createAccount/0,it,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,createAccount/0,pair,0
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getAccountType/1[Account],acc,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getAccountType/1[Account],selection,1
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getAccountType/1[Account],e,0
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getAccountType/1[Account],end,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getSaving/1[Account],acc,4
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getSaving/1[Account],selection,1
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getSaving/1[Account],e,0
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getSaving/1[Account],end,2
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getChecking/1[Account],acc,4
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getChecking/1[Account],selection,1
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getChecking/1[Account],e,0
C:\OOD\Java\ATM-Machine-master\ATM\OptionMenu.java,OptionMenu,getChecking/1[Account],end,2
C:\OOD\Java\ATM-Machine-master\ATM\ATM.java,ATM,main/1[java.lang.String[]],args,0
C:\OOD\Java\ATM-Machine-master\ATM\ATM.java,ATM,main/1[java.lang.String[]],optionMenu,1
