file,class,method,variable,usage
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\Person.java,AirlineReservationSystem.Person,"Person/2[java.lang.String,java.lang.String]",address,3
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\Person.java,AirlineReservationSystem.Person,"Person/2[java.lang.String,java.lang.String]",name,3
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\Passenger.java,AirlineReservationSystem.Passenger,"Passenger/2[AirlineReservationSystem.Person,int]",flight_number,3
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\ScheduledFlight.java,AirlineReservationSystem.ScheduledFlight,"ScheduledFlight/2[AirlineReservationSystem.FlightDescription,java.lang.String]",date,3
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\ScheduledFlight.java,AirlineReservationSystem.ScheduledFlight,"ScheduledFlight/2[AirlineReservationSystem.FlightDescription,java.lang.String]",flight_number,1
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\ProjectDB.java,AirlineReservationSystem.ProjectDB,add/1[AirlineReservationSystem.FlightDescription],flight_desc_list,2
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\ProjectDB.java,AirlineReservationSystem.ProjectDB,add/1[AirlineReservationSystem.Person],person_list,2
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\ProjectDB.java,AirlineReservationSystem.ProjectDB,add/1[AirlineReservationSystem.Passenger],passenger_list,2
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\ProjectDB.java,AirlineReservationSystem.ProjectDB,add/1[AirlineReservationSystem.ScheduledFlight],scheduled_flight_list,2
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\FlightDescription.java,AirlineReservationSystem.FlightDescription,"FlightDescription/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",arrival_time,1
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\FlightDescription.java,AirlineReservationSystem.FlightDescription,"FlightDescription/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",from,3
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\FlightDescription.java,AirlineReservationSystem.FlightDescription,"FlightDescription/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",to,3
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\FlightDescription.java,AirlineReservationSystem.FlightDescription,"FlightDescription/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",departure_time,1
C:\OOD\Java\Airline-Reservation-System-main\AirlineReservationSystem\src\AirlineReservationSystem\FlightDescription.java,AirlineReservationSystem.FlightDescription,"FlightDescription/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",capacity,3
