file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Battleship-main\src\Structure\Structure.java,Structure.Structure,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
C:\OOD\Java\Battleship-main\src\Game.java,Game,class,2,2,0,2,2,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,2,0,3,0,3,1,0,0,0,8,1,0
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,class,3,4,1,3,7,2,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,41,1,3,3,0,0,2,15,19,0,11,2,0,0,0,25,1,0
C:\OOD\Java\Battleship-main\src\FileExceptions\BadFileException.java,FileExceptions.BadFileException,class,0,2,2,0,4,3,0,6,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,18,0,0,2,0,0,3,7,4,0,4,2,0,0,0,24,1,0
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,class,3,8,5,3,10,1,2,4,23,0.725,0.24444444,0.62222224,10,0,9,0,0,1,10,2,0,0,4,0,0,0,4,0,0,0,0,36,6,0,0,0,0,0,4,4,0,4,0,0,0,0,24,1025,0
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,class,1,8,7,1,4,1,0,1,0,0.52380955,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,7,0,5,2,0,0,0,0,0,25,0,0,1,0,0,0,1,8,0,7,1,0,0,0,13,1,0
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,class,2,5,3,2,12,2,0,14,0,0.35714287,0.5,0.5,4,0,4,0,0,0,4,0,0,1,7,1,0,6,0,1,0,0,1,64,0,1,6,0,2,4,11,13,8,9,2,0,0,0,37,0,0
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,class,3,6,3,3,6,1,0,2,0,0.5,0.5,0.5,4,0,4,0,0,0,4,0,0,0,6,0,6,0,0,0,0,0,0,29,0,0,2,0,0,4,0,11,0,6,1,0,0,0,14,1,0
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,class,3,6,3,3,25,1,0,4,0,0.041666668,0.96428573,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,70,13,6,5,0,0,4,10,14,8,13,3,0,0,0,21,1,0
C:\OOD\Java\Battleship-main\src\Player\Person.java,Player.Person,class,4,5,1,4,13,2,0,12,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,53,1,1,1,2,1,5,15,13,0,12,4,0,0,0,31,1,0
C:\OOD\Java\Battleship-main\src\Ship\ShipCount.java,Ship.ShipCount,class,2,4,2,2,9,1,0,6,0,0.33333334,1.0,1.0,4,0,4,0,0,0,4,0,0,0,3,0,2,0,0,1,0,0,0,35,5,2,3,0,0,0,4,6,0,5,2,0,0,1,14,1,0
C:\OOD\Java\Battleship-main\src\MainFrame.java,MainFrame,class,7,9,2,7,37,1,0,52,38,0.81045747,0.6,0.6,17,1,4,12,1,0,5,0,0,0,18,1,0,18,0,0,0,0,8,184,7,7,3,1,3,18,72,47,15,40,4,0,0,0,107,1,0
