file,class,method,variable,usage
C:\OOD\Java\Battleship-main\src\FileExceptions\BadFileException.java,FileExceptions.BadFileException,BadFileException/1[int],status,3
C:\OOD\Java\Battleship-main\src\FileExceptions\BadFileException.java,FileExceptions.BadFileException,printMessage/0,status,2
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"shot/2[int,int]",gridM,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,gridlineMine/0,gridM,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,Player/1[java.lang.String],gridM,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,Player/1[java.lang.String],name,3
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,Player/1[java.lang.String],ship,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,Player/1[java.lang.String],gridE,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"checkBlockE/2[int,int]",gridE,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,createGridEnem/0,gridE,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,getName/0,name,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"checkBlockM/2[int,int]",gridM,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,getShips/0,ship,1
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,shot/0,destroyed,1
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,shot/0,lives,2
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,place/1[Structure.Block],place,2
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",destroyed,1
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",lives,1
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",x,3
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",y,3
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",place,1
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",dir,3
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",n,4
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,actionPerformed/1[java.awt.event.ActionEvent],timerImg,3
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,actionPerformed/1[java.awt.event.ActionEvent],ready,3
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,actionPerformed/1[java.awt.event.ActionEvent],timerWait,3
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,actionPerformed/1[java.awt.event.ActionEvent],window,2
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",timerImg,1
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",timerWait,1
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",index,3
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",ship,3
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",window,3
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",label,2
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],timerImg,1
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],ready,3
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],timerWait,1
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],ship,1
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],index,1
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],label,5
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],window,2
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,create/0,placed,1
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,create/0,show,1
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,create/0,shot,1
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,place/1[Ship.Ship],placed,1
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,place/1[Ship.Ship],show,1
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,place/1[Ship.Ship],ship,3
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,"Block/2[int,int]",x,3
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,"Block/2[int,int]",y,3
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,shot/1[boolean],placed,1
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,shot/1[boolean],show,2
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,shot/1[boolean],ship,1
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,shot/1[boolean],shot,3
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"shot/2[int,int]",grid,3
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"shot/2[int,int]",x,4
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"shot/2[int,int]",y,4
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"Gridline/2[int,int]",x,3
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"Gridline/2[int,int]",y,3
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShot/2[int,int]",grid,1
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShot/2[int,int]",x,2
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShot/2[int,int]",y,2
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShip/4[int,int,int,java.lang.String]",grid,3
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShip/4[int,int,int,java.lang.String]",x,5
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShip/4[int,int,int,java.lang.String]",y,5
