file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Battleship-main\src\Structure\Structure.java,Structure.Structure,create/0,false,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,false
C:\OOD\Java\Battleship-main\src\Structure\Structure.java,Structure.Structure,place/1[Ship.Ship],false,6,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\OOD\Java\Battleship-main\src\Game.java,Game,main/1[java.lang.String[]],false,4,2,4,0,4,2,5,9,0,3,1,5,0,0,0,0,0,0,2,0,3,0,1,0,0,0,7,9,0,false
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,Computer/1[java.lang.String],true,11,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,false,16,2,4,0,4,3,5,21,0,8,0,5,0,0,2,1,0,0,2,13,12,0,2,0,0,0,18,1,0,false
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,"takeAim/3[Player.Player,int,int]",false,42,2,3,0,3,3,4,15,1,3,3,4,0,0,1,2,0,0,0,2,7,0,2,0,0,0,11,1,0,false
C:\OOD\Java\Battleship-main\src\FileExceptions\BadFileException.java,FileExceptions.BadFileException,BadFileException/1[int],true,10,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Battleship-main\src\FileExceptions\BadFileException.java,FileExceptions.BadFileException,printMessage/0,false,15,0,1,1,0,3,6,11,0,2,0,6,0,0,0,2,0,0,3,6,2,0,2,0,0,0,14,1,0,false
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"shot/2[int,int]",false,38,1,3,2,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"takeAim/3[Player.Player,int,int]",false,23,1,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,createGridMine/0,false,25,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1025,0,false
