file,class,method,variable,usage
C:\OOD\Java\Battleship-main\src\Structure\Structure.java,Structure.Structure,place/1[Ship.Ship],ship,0
C:\OOD\Java\Battleship-main\src\Game.java,Game,main/1[java.lang.String[]],args,0
C:\OOD\Java\Battleship-main\src\Game.java,Game,main/1[java.lang.String[]],splash2,1
C:\OOD\Java\Battleship-main\src\Game.java,Game,main/1[java.lang.String[]],splash1,1
C:\OOD\Java\Battleship-main\src\Game.java,Game,main/1[java.lang.String[]],mainFrame,3
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,Computer/1[java.lang.String],name,1
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,next,2
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,random,3
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,temp,2
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,shipN,1
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,x,3
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,i,2
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,y,3
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,dir,2
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,createGridMine/0,dirN,3
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,"takeAim/3[Player.Player,int,int]",next,2
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,"takeAim/3[Player.Player,int,int]",random,2
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,"takeAim/3[Player.Player,int,int]",pers,1
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,"takeAim/3[Player.Player,int,int]",x,4
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,"takeAim/3[Player.Player,int,int]",y,4
C:\OOD\Java\Battleship-main\src\Player\Computer.java,Player.Computer,"takeAim/3[Player.Player,int,int]",shot,4
C:\OOD\Java\Battleship-main\src\FileExceptions\BadFileException.java,FileExceptions.BadFileException,BadFileException/1[int],status,2
C:\OOD\Java\Battleship-main\src\FileExceptions\BadFileException.java,FileExceptions.BadFileException,printMessage/0,text,4
C:\OOD\Java\Battleship-main\src\FileExceptions\BadFileException.java,FileExceptions.BadFileException,printMessage/0,frame,4
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"shot/2[int,int]",x,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"shot/2[int,int]",y,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"takeAim/3[Player.Player,int,int]",pers,0
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"takeAim/3[Player.Player,int,int]",x,0
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"takeAim/3[Player.Player,int,int]",y,0
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,Player/1[java.lang.String],name,2
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"checkBlockE/2[int,int]",x,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"checkBlockE/2[int,int]",y,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"checkBlockM/2[int,int]",x,1
C:\OOD\Java\Battleship-main\src\Player\Player.java,Player.Player,"checkBlockM/2[int,int]",y,1
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,place/1[Structure.Block],block,1
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",x,2
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",y,2
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",dir,2
C:\OOD\Java\Battleship-main\src\Ship\Ship.java,Ship.Ship,"Ship/4[int,int,int,java.lang.String]",n,3
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",index,2
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",ship,2
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,"Splash/3[int,Ship.ShipCount,java.awt.Frame]",frame,1
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],imgIndex,2
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],screenSize,2
C:\OOD\Java\Battleship-main\src\Splash.java,Splash,runImage/1[int],labelSize,2
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,place/1[Ship.Ship],ship,2
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,"Block/2[int,int]",x,2
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,"Block/2[int,int]",y,2
C:\OOD\Java\Battleship-main\src\Structure\Block.java,Structure.Block,shot/1[boolean],hit,1
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"shot/2[int,int]",x,3
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"shot/2[int,int]",y,3
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"Gridline/2[int,int]",x,2
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"Gridline/2[int,int]",y,2
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShot/2[int,int]",x,1
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShot/2[int,int]",y,1
C:\OOD\Java\Battleship-main\src\Structure\Gridline.java,Structure.Gridline,"checkShip/4[int,int,int,java.lang.String]",x,4
