file,class,method,variable,usage
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"Bricks/2[int,int]",bricks,2
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"Bricks/2[int,int]",brickHeight,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"Bricks/2[int,int]",i,4
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"Bricks/2[int,int]",brickWidth,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"Bricks/2[int,int]",j,4
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"Bricks/2[int,int]",WIDTH,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"Bricks/2[int,int]",HEIGHT,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"setBrickValue/2[int,int]",bricks,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,draw/1[java.awt.Graphics],bricks,2
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,draw/1[java.awt.Graphics],brickHeight,5
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,draw/1[java.awt.Graphics],i,7
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,draw/1[java.awt.Graphics],brickWidth,5
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,draw/1[java.awt.Graphics],j,7
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],play,2
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],score,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],timer,2
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],ballposX,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],playerX,5
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],ballposY,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],nothing,4
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],gameOver,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,ballDir/0,ballXdir,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,ballDir/0,ballYdir,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,showMessage/1[java.awt.Graphics],score,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],play,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],bricks,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],score,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],ballposX,5
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],ballXdir,8
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],playerX,3
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],totalBricks,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],ballposY,2
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],ballYdir,10
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,moveRight/0,play,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,moveRight/0,playerX,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,moveLeft/0,play,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,moveLeft/0,playerX,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,paint/1[java.awt.Graphics],bricks,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,paint/1[java.awt.Graphics],score,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,paint/1[java.awt.Graphics],ballposX,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,paint/1[java.awt.Graphics],playerX,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,paint/1[java.awt.Graphics],totalBricks,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,paint/1[java.awt.Graphics],ballposY,2
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,paint/1[java.awt.Graphics],gameOver,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,end/1[java.awt.Graphics],play,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,end/1[java.awt.Graphics],timer,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,end/1[java.awt.Graphics],ballXdir,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,end/1[java.awt.Graphics],ballYdir,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,ballPos/0,ballposX,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,ballPos/0,ballXdir,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,ballPos/0,ballposY,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,ballPos/0,ballYdir,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,createBricks/0,bricks,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,createBricks/0,totalBricks,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,createBricks/0,columns,3
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,createBricks/0,column,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,createBricks/0,row,1
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,createBricks/0,rows,3
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,Gameplay/0,play,1
