file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"Bricks/2[int,int]",true,10,1,1,1,0,3,0,10,0,0,2,0,0,0,2,0,0,0,0,3,6,2,2,0,0,0,16,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,"setBrickValue/2[int,int]",false,37,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Bricks.java,Bricks,draw/1[java.awt.Graphics],false,23,0,1,1,0,4,2,13,0,0,1,2,0,0,2,0,0,0,0,12,2,12,3,0,0,0,8,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyPressed/1[java.awt.event.KeyEvent],false,114,1,4,0,4,11,6,31,0,0,1,6,4,1,0,3,0,0,0,9,8,1,3,0,0,0,22,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,ballDir/0,false,159,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,showMessage/1[java.awt.Graphics],false,106,0,1,1,0,1,3,7,0,0,1,3,0,0,0,0,0,0,4,6,0,1,0,0,0,0,7,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,actionPerformed/1[java.awt.event.ActionEvent],false,185,2,2,0,2,15,4,43,0,9,1,4,1,1,2,0,0,0,0,26,20,9,6,0,0,0,28,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,moveRight/0,false,172,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,moveLeft/0,false,177,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,paint/1[java.awt.Graphics],false,51,2,3,0,3,3,9,26,0,0,1,9,2,1,0,0,0,0,4,18,1,1,1,0,0,0,17,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,end/1[java.awt.Graphics],false,92,0,1,1,0,1,4,9,0,0,1,4,0,0,0,0,0,0,1,7,3,0,0,0,0,0,9,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,ballPos/0,false,253,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyTyped/1[java.awt.event.KeyEvent],false,183,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,keyReleased/1[java.awt.event.KeyEvent],false,182,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,createBricks/0,false,164,1,3,2,1,1,1,6,0,0,0,1,0,0,0,0,0,0,0,4,4,3,0,0,0,0,6,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Gameplay.java,Gameplay,Gameplay/0,true,37,1,2,1,1,1,8,11,0,0,0,8,1,1,0,0,0,0,1,2,1,0,0,0,0,0,7,1,0,false
C:\OOD\Java\Breakout-Ball-master\Breakout Ball\src\Main.java,Main,main/1[java.lang.String[]],false,3,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
