file,class,method,variable,usage
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,area,4
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,button,7
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,p1,13
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,f1,11
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,text,5
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,actionPerformed/1[java.awt.event.ActionEvent],area,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,actionPerformed/1[java.awt.event.ActionEvent],dout,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,actionPerformed/1[java.awt.event.ActionEvent],vertical,3
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,actionPerformed/1[java.awt.event.ActionEvent],text,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,actionPerformed/1[java.awt.event.ActionEvent],f1,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,main/1[java.lang.String[]],area,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,main/1[java.lang.String[]],s,3
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,main/1[java.lang.String[]],dout,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,main/1[java.lang.String[]],din,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,main/1[java.lang.String[]],vertical,3
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,main/1[java.lang.String[]],f1,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,main/1[java.lang.String[]],skt,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,actionPerformed/1[java.awt.event.ActionEvent],area,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,actionPerformed/1[java.awt.event.ActionEvent],dout,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,actionPerformed/1[java.awt.event.ActionEvent],vertical,3
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,actionPerformed/1[java.awt.event.ActionEvent],text,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,actionPerformed/1[java.awt.event.ActionEvent],f1,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,Client/0,area,4
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,Client/0,button,7
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,Client/0,p1,12
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,Client/0,f1,11
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,Client/0,text,5
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,main/1[java.lang.String[]],area,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,main/1[java.lang.String[]],s,3
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,main/1[java.lang.String[]],dout,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,main/1[java.lang.String[]],din,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,main/1[java.lang.String[]],vertical,3
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,main/1[java.lang.String[]],f1,1
