file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,113,0,0,0,0,2,1,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous3,keyReleased/1[java.awt.event.KeyEvent],false,145,0,0,0,0,2,2,6,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous3,keyPressed/1[java.awt.event.KeyEvent],false,138,0,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],false,67,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,123,0,0,0,0,2,1,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,formatLabel/1[java.lang.String],false,212,0,2,2,0,1,10,16,1,5,1,10,0,0,0,0,0,0,4,8,5,1,0,0,0,0,24,9,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,true,51,0,2,1,1,1,26,102,0,20,0,26,0,0,0,0,0,0,16,79,24,0,0,3,0,0,58,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,actionPerformed/1[java.awt.event.ActionEvent],false,184,1,1,0,1,3,11,20,0,3,1,11,1,1,0,0,1,0,1,1,3,0,2,0,0,0,18,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,main/1[java.lang.String[]],false,235,1,2,0,2,5,12,32,0,3,1,12,1,1,2,0,2,0,1,3,8,0,4,0,0,0,25,9,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server$Anonymous3,keyPressed/1[java.awt.event.KeyEvent],false,148,0,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server$Anonymous3,keyReleased/1[java.awt.event.KeyEvent],false,157,0,0,0,0,2,2,6,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],false,71,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,actionPerformed/1[java.awt.event.ActionEvent],false,171,1,1,0,1,3,11,20,0,3,1,11,1,1,0,0,1,0,1,1,3,0,2,0,0,0,18,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,Client/0,true,49,0,2,1,1,1,26,97,0,19,0,26,0,0,0,0,0,0,14,71,23,0,0,3,0,0,56,1,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,formatLabel/1[java.lang.String],false,198,0,2,2,0,1,10,16,1,5,1,10,0,0,0,0,0,0,4,8,5,1,0,0,0,0,24,9,0,false
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client,main/1[java.lang.String[]],false,219,1,2,0,2,4,12,31,0,3,1,12,1,1,1,0,2,0,4,3,7,0,3,0,0,0,31,9,0,false
