file,class,method,variable,usage
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],ae,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous3,keyReleased/1[java.awt.event.KeyEvent],ke,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous3,keyPressed/1[java.awt.event.KeyEvent],ke,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Client.java,Client$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],ae,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],ae,0
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,formatLabel/1[java.lang.String],p3,5
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,formatLabel/1[java.lang.String],sdf,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,formatLabel/1[java.lang.String],l1,5
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,formatLabel/1[java.lang.String],l2,2
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,formatLabel/1[java.lang.String],out,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,formatLabel/1[java.lang.String],cal,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,img4,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,img3,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,img,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,img6,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,img5,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,img8,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,img7,1
C:\OOD\Java\Chatting-Service-master\Basic_Chatting_Application\src\Server.java,Server,Server/0,serverlabel,4
