file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Rook.java,chess.pieces.Rook,class,6,8,2,6,19,3,0,11,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,47,2,4,0,0,0,1,10,10,8,2,1,0,0,0,18,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,class,7,9,2,7,22,3,0,10,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,2,0,0,1,18,11,16,3,1,0,0,0,19,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\Color.java,chess.Color,enum,0,8,8,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\application\Program.java,application.Program,class,5,5,0,5,10,1,0,18,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,45,0,2,2,1,0,8,0,9,0,8,4,0,0,0,30,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,class,0,11,11,0,7,1,0,0,0,0.2857143,0.8095238,1.0,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,27,3,0,0,0,0,1,0,6,1,2,0,0,0,0,10,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Bishop.java,chess.pieces.Bishop,class,6,7,1,6,19,3,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,48,2,4,0,0,0,1,18,10,16,2,1,0,0,0,18,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessException.java,chess.ChessException,class,1,3,2,1,1,5,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\BoardException.java,boardgame.BoardException,class,0,2,2,0,1,4,1,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,11,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,class,15,20,5,15,81,1,0,37,45,0.8067633,0.3272727,1.0,23,0,11,12,0,0,11,0,0,0,9,0,0,9,0,0,0,0,3,284,23,7,25,0,11,16,59,58,17,53,5,0,0,3,90,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Pawn.java,chess.pieces.Pawn,class,7,8,1,7,40,3,0,13,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,73,2,0,9,0,0,1,28,21,22,9,3,0,0,0,24,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessPosition.java,chess.ChessPosition,class,3,8,5,3,10,1,0,2,0,0.33333334,0.6,0.6666667,6,1,4,0,2,0,6,0,0,0,2,0,0,2,0,0,0,0,0,26,5,0,0,0,1,2,4,2,5,2,1,0,0,0,17,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\king.java,chess.pieces.king,class,9,11,2,9,35,3,0,13,8,0.6,0.33333334,0.33333334,5,0,3,2,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,74,4,0,11,0,0,1,25,22,21,12,3,0,0,0,30,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessPiece.java,chess.ChessPiece,class,6,16,10,6,9,2,6,4,9,0.5714286,0.2857143,0.2857143,7,0,6,0,1,0,7,0,0,0,2,0,0,2,0,0,0,0,1,27,4,0,2,0,0,0,0,2,0,3,0,0,0,0,19,1025,0
C:\OOD\Java\Chess-Game-System-Project-main\src\application\UI.java,application.UI,class,5,7,2,5,19,1,0,23,19,0.9411765,0.0,0.0,7,7,5,2,0,0,5,0,0,0,17,17,17,0,0,0,17,0,9,101,1,4,4,1,2,33,8,26,10,28,2,0,0,2,67,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Queen.java,chess.pieces.Queen,class,6,7,1,6,35,3,0,11,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,82,2,8,0,0,0,1,26,18,24,2,1,0,0,0,18,1,0
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Board.java,boardgame.Board,class,4,14,10,4,23,1,0,6,15,0.6333334,0.33333334,0.5833333,10,0,9,1,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,62,9,0,2,0,0,6,4,8,1,4,1,0,0,0,34,1,0
