file,class,method,variable,usage
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,setRow/1[int],row,3
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,"setValues/2[int,int]",column,3
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,"setValues/2[int,int]",row,3
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,getColumn/0,column,1
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,getRow/0,row,1
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,toString/0,column,1
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,toString/0,row,1
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,"Position/2[int,int]",column,3
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,"Position/2[int,int]",row,3
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,setColumn/1[int],column,3
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"placeNewPiece/3[char,int,chess.ChessPiece]",piecesOnTheBord,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"placeNewPiece/3[char,int,chess.ChessPiece]",board,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,ChessMatch/0,currentPlayer,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,ChessMatch/0,turn,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,ChessMatch/0,board,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"newPiece/2[java.lang.String,chess.Color]",board,4
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,king/1[chess.Color],piecesOnTheBord,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,validateSourcePosition/1[boardgame.Position],currentPlayer,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,validateSourcePosition/1[boardgame.Position],board,3
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"undoMove/3[boardgame.Position,boardgame.Position,boardgame.Piece]",piecesOnTheBord,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"undoMove/3[boardgame.Position,boardgame.Position,boardgame.Piece]",enPassantVulnerable,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"undoMove/3[boardgame.Position,boardgame.Position,boardgame.Piece]",capturedPieces,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"undoMove/3[boardgame.Position,boardgame.Position,boardgame.Piece]",board,9
