file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Rook.java,chess.pieces.Rook,possibleMoves/0,false,22,5,12,0,12,17,11,39,1,2,0,11,0,0,4,0,0,0,0,10,10,8,1,0,0,0,12,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Rook.java,chess.pieces.Rook,toString/0,false,16,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Rook.java,chess.pieces.Rook,"Rook/2[boardgame.Board,chess.Color]",true,10,2,2,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,toString/0,false,15,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,canMove/1[boardgame.Position],false,19,4,4,1,3,3,3,4,1,1,1,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,11,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,"Knight/2[boardgame.Board,chess.Color]",true,10,2,2,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,possibleMoves/0,false,25,5,9,0,9,17,8,37,1,2,0,8,1,1,0,0,0,0,0,18,10,16,1,0,0,0,10,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\application\Program.java,application.Program,main/1[java.lang.String[]],false,15,5,11,0,11,10,18,43,0,8,1,18,0,0,2,2,1,0,8,0,9,0,4,0,0,0,29,9,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,setRow/1[int],false,17,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,"setValues/2[int,int]",false,29,0,6,6,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,getColumn/0,false,21,0,15,15,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,getRow/0,false,13,0,16,16,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,toString/0,false,37,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,"Position/2[int,int]",true,8,0,10,10,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\Position.java,boardgame.Position,setColumn/1[int],false,25,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Bishop.java,chess.pieces.Bishop,possibleMoves/0,false,22,5,10,0,10,17,9,40,1,2,0,9,0,0,4,0,0,0,0,18,10,16,1,0,0,0,12,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Bishop.java,chess.pieces.Bishop,"Bishop/2[boardgame.Board,chess.Color]",true,10,2,2,2,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Bishop.java,chess.pieces.Bishop,toString/0,false,16,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessException.java,chess.ChessException,ChessException/1[java.lang.String],true,10,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\boardgame\BoardException.java,boardgame.BoardException,BoardException/1[java.lang.String],true,6,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"placeNewPiece/3[char,int,chess.ChessPiece]",false,363,3,4,1,3,1,3,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,ChessMatch/0,true,31,2,3,1,2,1,1,6,0,0,0,1,1,2,0,0,0,0,0,3,3,0,0,0,0,0,9,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"newPiece/2[java.lang.String,chess.Color]",false,156,6,5,1,4,4,1,6,4,0,2,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,8,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,king/1[chess.Color],false,299,4,2,1,1,4,5,9,1,2,1,5,0,0,1,1,0,1,2,0,1,1,2,0,0,1,14,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,validateSourcePosition/1[boardgame.Position],false,269,5,7,2,5,4,4,11,0,0,1,4,0,0,0,1,0,1,3,0,0,0,1,0,0,0,20,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"undoMove/3[boardgame.Position,boardgame.Position,boardgame.Piece]",false,217,6,9,2,7,10,8,37,0,9,3,8,0,0,0,6,0,0,0,8,10,6,3,0,0,0,18,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,getCheck/0,false,48,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,getPieces/0,false,67,2,5,2,3,3,3,9,1,3,0,3,0,0,2,0,0,0,0,2,4,0,2,0,0,0,7,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"makeMove/2[boardgame.Position,boardgame.Position]",false,166,6,9,2,7,10,8,39,1,9,2,8,0,0,0,6,0,0,0,8,11,8,3,0,0,0,15,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,getCurrentPlayer/0,false,44,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,getPromoted/0,false,62,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,"validateTargetPosition/2[boardgame.Position,boardgame.Position]",false,282,4,4,1,3,2,2,5,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,getCheckMate/0,false,53,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,testCheck/1[chess.Color],false,314,7,10,2,8,4,12,11,2,4,1,12,2,1,1,1,0,1,0,0,3,0,2,0,0,1,15,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,initialSetup/0,false,371,7,8,1,7,1,1,34,0,0,0,1,1,1,0,0,0,0,0,32,0,0,0,0,0,0,11,2,0,false
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\ChessMatch.java,chess.ChessMatch,replacePromotedPiece/1[java.lang.String],false,136,6,8,2,6,6,9,15,2,3,1,9,1,1,0,1,0,0,5,0,3,0,1,0,0,0,19,1,0,false
