file,class,method,variable,usage
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Rook.java,chess.pieces.Rook,possibleMoves/0,p,44
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Rook.java,chess.pieces.Rook,possibleMoves/0,mat,9
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Rook.java,chess.pieces.Rook,"Rook/2[boardgame.Board,chess.Color]",color,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Rook.java,chess.pieces.Rook,"Rook/2[boardgame.Board,chess.Color]",board,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,canMove/1[boardgame.Position],p,2
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,canMove/1[boardgame.Position],position,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,"Knight/2[boardgame.Board,chess.Color]",color,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,"Knight/2[boardgame.Board,chess.Color]",board,1
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,possibleMoves/0,p,40
C:\OOD\Java\Chess-Game-System-Project-main\src\chess\pieces\Knight.java,chess.pieces.Knight,possibleMoves/0,mat,9
C:\OOD\Java\Chess-Game-System-Project-main\src\application\Program.java,application.Program,main/1[java.lang.String[]],args,0
C:\OOD\Java\Chess-Game-System-Project-main\src\application\Program.java,application.Program,main/1[java.lang.String[]],sc,6
C:\OOD\Java\Chess-Game-System-Project-main\src\application\Program.java,application.Program,main/1[java.lang.String[]],possibleMoves,2
C:\OOD\Java\Chess-Game-System-Project-main\src\application\Program.java,application.Program,main/1[java.lang.String[]],e,3
C:\OOD\Java\Chess-Game-System-Project-main\src\application\Program.java,application.Program,main/1[java.lang.String[]],captured,3
C:\OOD\Java\Chess-Game-System-Project-main\src\application\Program.java,application.Program,main/1[java.lang.String[]],chessMatch,8
