file,class,method,variable,usage
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,main/1[java.lang.String[]],args,0
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,main/1[java.lang.String[]],texto,1
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,main/1[java.lang.String[]],entrada,2
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,main/1[java.lang.String[]],e,0
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,main/1[java.lang.String[]],chave,2
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,main/1[java.lang.String[]],textoCriptografado,2
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,main/1[java.lang.String[]],textoDescriptografado,1
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"decriptar/2[int,java.lang.String]",texto,2
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"decriptar/2[int,java.lang.String]",tamanhoTexto,1
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"decriptar/2[int,java.lang.String]",c,3
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"decriptar/2[int,java.lang.String]",textoCifrado,2
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"decriptar/2[int,java.lang.String]",chave,1
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"decriptar/2[int,java.lang.String]",letraDecifradaASCII,3
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"encriptar/2[int,java.lang.String]",texto,2
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"encriptar/2[int,java.lang.String]",tamanhoTexto,1
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"encriptar/2[int,java.lang.String]",c,3
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"encriptar/2[int,java.lang.String]",textoCifrado,2
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"encriptar/2[int,java.lang.String]",chave,1
C:\OOD\Java\Cifra-de-Cesar-main\src\App.java,App,"encriptar/2[int,java.lang.String]",letraCifradaASCII,3
