file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch,start/0,false,256,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch,actionPerformed/1[java.awt.event.ActionEvent],false,234,1,3,0,3,4,5,19,0,0,1,5,3,1,0,2,0,0,3,0,3,0,2,0,0,0,12,1,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch,Clock_Stopwatch/0,true,82,1,3,1,2,1,23,79,0,0,0,23,1,1,0,0,0,0,21,31,11,1,0,2,0,0,47,1,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch,reset/0,false,263,0,1,1,0,1,3,11,0,0,0,3,0,0,0,0,0,0,5,4,7,1,0,0,0,0,10,2,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch,setTime/0,false,213,0,1,1,0,3,6,16,0,0,0,6,0,0,1,0,1,0,0,1,3,0,2,0,0,0,9,1,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch,stop/0,false,259,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,168,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,177,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Main.java,Main,main/1[java.lang.String[]],false,19,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\OOD\Java\Clock-Stopwatch-master\Clock-Stopwatch\src\Clock_Stopwatch.java,Clock_Stopwatch$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],false,198,0,0,0,0,1,2,10,0,0,1,2,0,0,0,0,0,3,5,6,7,6,0,0,0,0,14,1,0,false
