file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,class,2,4,2,2,2,6,0,21,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,0,0,3,0,1,0,0,0,32,0,0,0,0,0,1,15,6,0,6,0,0,0,0,25,1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,class,3,6,3,3,6,6,0,36,1,0.61111116,NaN,NaN,3,0,1,2,0,0,1,0,0,0,6,0,0,5,0,1,0,0,6,67,0,0,0,0,0,8,27,11,0,11,3,1,0,0,43,1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\agregarRWindow.java,view.agregarRWindow$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\TipoRevista.java,domain.TipoRevista,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\resumenCWindow.java,view.resumenCWindow$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\agregarSWindow.java,view.agregarSWindow$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\estadoCWindow.java,view.estadoCWindow$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,class,4,6,2,4,28,1,0,22,166,0.8177083,0.23529412,0.88235295,24,0,17,7,0,0,17,0,0,0,8,0,0,8,0,0,0,0,1,124,16,0,2,0,1,36,11,37,19,15,2,0,0,0,106,1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,class,3,7,4,3,10,6,0,34,0,0.6785714,NaN,NaN,4,0,1,3,0,0,1,0,0,0,7,0,0,6,0,1,0,0,8,71,0,0,0,0,4,4,34,12,0,12,2,2,0,0,34,1,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\TipoCliente.java,domain.TipoCliente,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
