file,class,method,variable,usage
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,initComponents/0,jPanel1,6
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,initComponents/0,infoTxt,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,initComponents/0,jScrollPane1,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,"listadoRWindow/3[java.awt.Frame,boolean,domain.Counter]",theSystem,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,"listadoRWindow/3[java.awt.Frame,boolean,domain.Counter]",infoTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,initComponents/0,jButton1,7
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,initComponents/0,idTxt,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,initComponents/0,jPanel1,6
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,initComponents/0,infoTxt,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,initComponents/0,jScrollPane1,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,"consultarCWindow/3[java.awt.Frame,boolean,domain.Counter]",theSystem,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],idTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],theSystem,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],infoTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setCasillero/1[domain.Locker],casillero,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getDireccion/0,direccion,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setCorreo/1[java.lang.String],correo,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setNombre/1[java.lang.String],nombre,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getNombre/0,nombre,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setGenero/1[domain.Genero],genero,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getFechaNacimiento/0,fechaNacimiento,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setTelefono/1[java.lang.String],telefono,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",fechaNacimiento,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",correo,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",genero,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",direccion,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",id,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",telefono,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",nombre,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setFechaNacimiento/1[java.util.Date],fechaNacimiento,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,pasoNivel/1[int],casillero,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,pasoNivel/1[int],id,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getId/0,id,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setDireccion/1[java.lang.String],direccion,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setId/1[int],id,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getGenero/0,genero,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getTipo/1[int],casillero,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getTelefono/0,telefono,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",fechaNacimiento,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",correo,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",genero,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",direccion,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",telefono,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",nombre,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getCorreo/0,correo,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getStrFecha/0,fechaNacimiento,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getCasillero/0,casillero,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,infoPendientes/0,casillero,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,obtenerDatos/0,id,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,emailBtnActionPerformed/1[java.awt.event.ActionEvent],idTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,emailBtnActionPerformed/1[java.awt.event.ActionEvent],theSystem,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,"detalleRWindow/3[java.awt.Frame,boolean,domain.Counter]",theSystem,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,initComponents/0,jButton1,6
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,initComponents/0,idTxt,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,initComponents/0,jPanel1,6
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,initComponents/0,infoTxt,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,initComponents/0,jScrollPane1,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,initComponents/0,emailBtn,6
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],idTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],theSystem,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],infoTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,bloquearEspacios/0,fechaTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,bloquearEspacios/0,correoTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,bloquearEspacios/0,dirTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,bloquearEspacios/0,nombreTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,bloquearEspacios/0,ediBtn,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,bloquearEspacios/0,teleTxt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,"editarCWindow/3[java.awt.Frame,boolean,domain.Counter]",theSystem,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jLabel3,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jLabel2,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jLabel5,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,dirTxt,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,idTxt,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jLabel4,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jLabel7,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jLabel6,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,diaCmb,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,nombreTxt,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jLabel9,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jLabel8,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,teleTxt,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,buscarBtn,6
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,fechaTxt,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,correoTxt,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jPanel1,6
