file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,initComponents/0,false,18,0,1,1,0,1,18,20,0,2,0,18,0,0,0,0,0,0,1,15,5,0,0,0,0,0,19,2,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,"listadoRWindow/3[java.awt.Frame,boolean,domain.Counter]",true,9,2,3,1,2,1,3,6,0,0,3,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,initComponents/0,false,19,0,2,1,1,1,27,33,0,2,0,27,0,0,0,0,0,0,5,27,7,0,0,1,0,0,26,2,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,"consultarCWindow/3[java.awt.Frame,boolean,domain.Counter]",true,11,2,2,1,1,1,1,5,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],false,90,2,6,1,5,4,8,21,0,3,1,8,0,0,0,0,0,0,3,0,3,0,3,0,0,0,19,2,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\agregarRWindow.java,view.agregarRWindow$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,45,1,38,0,38,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\resumenCWindow.java,view.resumenCWindow$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,37,1,38,0,38,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\agregarSWindow.java,view.agregarSWindow$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,45,1,38,0,38,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\estadoCWindow.java,view.estadoCWindow$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,34,1,38,0,38,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setCasillero/1[domain.Locker],false,47,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,true
