file,class,method,variable,usage
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,initComponents/0,layout,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,initComponents/0,jPanel1Layout,7
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,"listadoRWindow/3[java.awt.Frame,boolean,domain.Counter]",parent,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,"listadoRWindow/3[java.awt.Frame,boolean,domain.Counter]",modal,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\listadoRWindow.java,view.listadoRWindow,"listadoRWindow/3[java.awt.Frame,boolean,domain.Counter]",info,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,initComponents/0,layout,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,initComponents/0,jPanel1Layout,11
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,"consultarCWindow/3[java.awt.Frame,boolean,domain.Counter]",parent,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,"consultarCWindow/3[java.awt.Frame,boolean,domain.Counter]",modal,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,"consultarCWindow/3[java.awt.Frame,boolean,domain.Counter]",info,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],cliente,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],idC,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\consultarCWindow.java,view.consultarCWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],mensaje,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\agregarRWindow.java,view.agregarRWindow$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\resumenCWindow.java,view.resumenCWindow$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\agregarSWindow.java,view.agregarSWindow$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\estadoCWindow.java,view.estadoCWindow$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setCasillero/1[domain.Locker],casillero,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setCorreo/1[java.lang.String],correo,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setNombre/1[java.lang.String],nombre,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,obtenerInformacion/0,mensaje,9
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setGenero/1[domain.Genero],genero,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setTelefono/1[java.lang.String],telefono,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",fechaNacimiento,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",correo,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",genero,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",direccion,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",id,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",telefono,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"Cliente/7[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",nombre,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setFechaNacimiento/1[java.util.Date],fechaNacimiento,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,pasoNivel/1[int],recibidos,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,pasoNivel/1[int],cantidad,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,pasoNivel/1[int],mensaje,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setDireccion/1[java.lang.String],direccion,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,setId/1[int],id,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getTipo/1[int],recibidos,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,getTipo/1[int],pasoCategoria,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",fechaNacimiento,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",correo,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",genero,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",direccion,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",telefono,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,"editarDatos/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,domain.Genero,java.util.Date]",nombre,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,infoPendientes/0,mensaje,6
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,obtenerDatos/0,elCorreo,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\domain\Cliente.java,domain.Cliente,obtenerDatos/0,datos,8
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,emailBtnActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,emailBtnActionPerformed/1[java.awt.event.ActionEvent],id,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,"detalleRWindow/3[java.awt.Frame,boolean,domain.Counter]",parent,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,"detalleRWindow/3[java.awt.Frame,boolean,domain.Counter]",modal,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,"detalleRWindow/3[java.awt.Frame,boolean,domain.Counter]",info,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,initComponents/0,layout,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,initComponents/0,jPanel1Layout,9
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],id,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\detalleRWindow.java,view.detalleRWindow,jButton1ActionPerformed/1[java.awt.event.ActionEvent],respuesta,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,"editarCWindow/3[java.awt.Frame,boolean,domain.Counter]",parent,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,"editarCWindow/3[java.awt.Frame,boolean,domain.Counter]",modal,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,"editarCWindow/3[java.awt.Frame,boolean,domain.Counter]",info,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,layout,5
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,initComponents/0,jPanel1Layout,28
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],fecha,7
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],correo,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],direccion,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],mes,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],ID,1
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],telefono,4
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],sexo,2
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],nombre,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,ediBtnActionPerformed/1[java.awt.event.ActionEvent],dia,3
C:\OOD\Java_Projects\Counter-Program-master\CounterSystem\src\view\editarCWindow.java,view.editarCWindow,buscarBtnActionPerformed/1[java.awt.event.ActionEvent],fecha,3
