file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame,addActionListeners/0,false,115,0,2,1,1,1,1,84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,29,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame,addComponentsToFrame/0,false,210,0,1,1,0,1,4,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame,configureComponents/0,false,110,0,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame,initFrame/0,false,53,0,1,1,0,1,5,7,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,28,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame,MainFrame/1[java.lang.String],true,43,1,7,2,5,1,5,8,0,0,1,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame,initComponents/0,false,61,1,2,1,1,2,1,31,0,0,0,1,0,0,0,1,0,0,20,0,25,1,1,0,0,0,44,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame,DeleteEmployeeFrame/0,true,16,1,6,1,5,1,5,7,0,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame,initComponents/0,false,33,0,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,13,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame,addComponentsToFrame/0,false,81,0,1,1,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame,initFrame/0,false,24,0,1,1,0,1,6,8,0,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,26,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame,configureComponents/0,false,40,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\DeleteEmployeeFrame.java,org.payroll.employees.DeleteEmployeeFrame,addActionListeners/0,false,43,0,2,1,1,1,1,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous11,actionPerformed/1[java.awt.event.ActionEvent],false,186,1,29,0,29,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous12,actionPerformed/1[java.awt.event.ActionEvent],false,192,1,29,0,29,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,64,1,29,0,29,3,11,21,0,5,1,11,0,0,0,0,1,0,4,0,5,0,2,0,0,0,19,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,57,0,29,0,29,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\Main.java,org.payroll.Main,main/1[java.lang.String[]],false,8,2,2,0,2,1,1,4,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,8,9,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous10,actionPerformed/1[java.awt.event.ActionEvent],false,180,1,29,0,29,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous13,actionPerformed/1[java.awt.event.ActionEvent],false,199,0,29,0,29,1,1,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\NewDepartmentFrame.java,org.payroll.departments.NewDepartmentFrame$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,56,0,29,0,29,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\NewDepartmentFrame.java,org.payroll.departments.NewDepartmentFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,63,1,29,0,29,3,9,21,0,5,1,9,0,0,0,0,1,0,4,0,5,0,2,0,0,0,22,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,118,1,29,0,29,1,2,5,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\ModifyDepartmentFrame.java,org.payroll.departments.ModifyDepartmentFrame$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],false,60,0,29,0,29,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\DeleteLoginIdFrame.java,org.payroll.preferences.DeleteLoginIdFrame,initComponents/0,false,33,0,1,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,4,2,6,0,0,0,0,0,15,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\DeleteLoginIdFrame.java,org.payroll.preferences.DeleteLoginIdFrame,addActionListeners/0,false,42,0,2,1,1,1,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\DeleteLoginIdFrame.java,org.payroll.preferences.DeleteLoginIdFrame,initFrame/0,false,24,0,1,1,0,1,6,8,0,0,0,6,0,0,0,0,0,0,1,2,0,0,0,0,0,0,27,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\DeleteLoginIdFrame.java,org.payroll.preferences.DeleteLoginIdFrame,DeleteLoginIdFrame/0,true,17,1,5,1,4,1,4,6,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\preferences\DeleteLoginIdFrame.java,org.payroll.preferences.DeleteLoginIdFrame,addComponentsToFrame/0,false,73,0,1,1,0,1,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\DeleteDepartmentFrame.java,org.payroll.departments.DeleteDepartmentFrame,addComponentsToFrame/0,false,59,0,1,1,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\DeleteDepartmentFrame.java,org.payroll.departments.DeleteDepartmentFrame,initComponents/0,false,35,0,1,1,0,1,2,6,0,0,0,2,0,0,0,0,0,0,3,0,4,0,0,0,0,0,12,0,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\DeleteDepartmentFrame.java,org.payroll.departments.DeleteDepartmentFrame,DeleteDepartmentFrame/0,true,19,1,5,1,4,1,4,6,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\DeleteDepartmentFrame.java,org.payroll.departments.DeleteDepartmentFrame,addActionListeners/0,false,42,0,2,1,1,1,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,false
