file,class,method,variable,usage
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame,MainFrame/1[java.lang.String],username,2
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous11,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous12,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],ln,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],fn,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],id,2
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],department,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e1,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],email,1
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\employees\UpdateEmployeeFrame.java,org.payroll.employees.UpdateEmployeeFrame$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\Main.java,org.payroll.Main,main/1[java.lang.String[]],args,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous10,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\MainFrame.java,org.payroll.MainFrame$Anonymous13,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Employee-Payroll-System-master\sources\org\payroll\departments\NewDepartmentFrame.java,org.payroll.departments.NewDepartmentFrame$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],e,0
