file,class,method,variable,usage
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,GamePanel/0,random,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,GamePanel/0,SCREEN_HEIGHT,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,GamePanel/0,SCREEN_WIDTH,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkApple/0,x,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkApple/0,y,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkApple/0,appleX,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkApple/0,appleY,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkApple/0,appleEaten,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkApple/0,bodyParts,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,newApple/0,random,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,newApple/0,SCREEN_HEIGHT,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,newApple/0,SCREEN_WIDTH,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,newApple/0,UNIT_SIZE,4
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,newApple/0,appleX,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,newApple/0,appleY,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,gameOver/1[java.awt.Graphics],SCREEN_HEIGHT,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,gameOver/1[java.awt.Graphics],SCREEN_WIDTH,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,gameOver/1[java.awt.Graphics],appleEaten,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,startGame/0,running,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,startGame/0,timer,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,startGame/0,DELAY,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,move/0,x,6
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,move/0,UNIT_SIZE,4
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,move/0,y,6
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,move/0,bodyParts,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,move/0,direction,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],running,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],SCREEN_HEIGHT,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],UNIT_SIZE,11
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],SCREEN_WIDTH,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],x,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],y,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],appleX,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],appleY,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],appleEaten,2
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],bodyParts,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkCollisions/0,running,6
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkCollisions/0,timer,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkCollisions/0,SCREEN_HEIGHT,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkCollisions/0,x,4
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkCollisions/0,SCREEN_WIDTH,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkCollisions/0,y,4
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkCollisions/0,bodyParts,1
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,actionPerformed/1[java.awt.event.ActionEvent],running,1
