file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Java-Snake-Game-main\src\App.java,App,main/1[java.lang.String[]],false,2,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,paintComponent/1[java.awt.Graphics],false,52,1,1,0,1,1,2,4,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,GamePanel/0,true,35,2,3,1,2,1,5,8,0,0,0,5,1,2,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkApple/0,false,125,1,2,1,1,3,1,7,0,0,0,1,1,1,0,2,0,2,0,2,0,0,1,0,0,0,9,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,newApple/0,false,97,0,2,2,0,1,1,4,0,0,0,1,0,0,0,0,0,2,0,0,2,4,0,0,0,0,19,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,gameOver/1[java.awt.Graphics],false,167,0,1,1,0,1,7,10,0,2,1,7,0,0,0,0,0,2,6,5,2,7,0,0,0,0,22,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,startGame/0,false,45,1,2,1,1,1,2,6,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,move/0,false,102,0,1,1,0,6,0,19,0,1,0,0,0,0,1,0,0,0,0,11,7,6,1,0,0,0,13,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,draw/1[java.awt.Graphics],false,57,1,2,1,1,5,11,27,0,3,1,11,1,1,2,1,0,1,3,10,3,9,3,0,0,0,30,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,checkCollisions/0,false,133,0,1,1,0,9,1,22,0,1,0,1,0,0,1,2,0,2,0,9,6,0,2,0,0,0,19,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel,actionPerformed/1[java.awt.event.ActionEvent],false,182,1,3,0,3,2,4,8,0,0,1,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GamePanel.java,GamePanel$MyKeyAdapter,keyPressed/1[java.awt.event.KeyEvent],false,194,0,0,0,0,9,1,23,0,0,1,1,0,0,0,4,0,0,0,0,4,0,2,0,0,0,6,1,0,false
C:\OOD\Java\Java-Snake-Game-main\src\GameFrame.java,GameFrame,GameFrame/0,true,4,1,2,1,1,1,7,9,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,false
