file,class,method,variable,usage
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\App.java,mashinaphamacyinformationsystem.App,App/0,btnEnterData,2
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\App.java,mashinaphamacyinformationsystem.App,App/0,btnSearchData,2
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\App.java,mashinaphamacyinformationsystem.App,App/0,frame,6
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,printData/0,alShelf,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,printData/0,alMedicineName,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,printData/0,alStore,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,actionPerformed/1[java.awt.event.ActionEvent],frameED,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,actionPerformed/1[java.awt.event.ActionEvent],lblSearchByShelf,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,actionPerformed/1[java.awt.event.ActionEvent],txtSearchByMedicineName,4
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,actionPerformed/1[java.awt.event.ActionEvent],pnlEAST,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,actionPerformed/1[java.awt.event.ActionEvent],btnSearchByMedicineName,2
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,actionPerformed/1[java.awt.event.ActionEvent],btnSearchByStore,2
