file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],false,16,0,0,0,0,4,7,21,0,6,1,7,0,0,1,0,1,0,3,0,6,0,2,0,0,0,23,9,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\App.java,mashinaphamacyinformationsystem.App,main/1[java.lang.String[]],false,31,1,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\App.java,mashinaphamacyinformationsystem.App,App/0,true,19,0,1,1,0,1,5,10,0,0,0,5,0,0,0,0,0,0,2,2,2,0,0,0,0,0,10,1,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,main/1[java.lang.String[]],false,367,1,1,0,1,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,printData/0,false,306,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,1,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,menuDeselected/1[javax.swing.event.MenuEvent],false,363,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,actionPerformed/1[java.awt.event.ActionEvent],false,229,1,1,0,1,10,25,75,0,12,1,25,1,1,1,5,1,0,16,9,13,3,3,0,0,0,52,1,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,menuSelected/1[javax.swing.event.MenuEvent],false,311,0,0,0,0,6,10,56,0,0,1,10,0,0,0,5,0,0,6,4,0,1,1,0,0,0,21,1,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,EnterData/0,true,65,0,1,1,0,1,16,110,0,1,0,16,0,0,0,0,0,0,45,14,37,1,0,0,0,0,66,1,0,false
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,menuCanceled/1[javax.swing.event.MenuEvent],false,365,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
