file,class,method,variable,usage
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],args,0
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],fw,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],file,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],bw,2
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],e,3
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],line,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],scanner,2
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\TestDataBase.java,mashinaphamacyinformationsystem.TestDataBase,main/1[java.lang.String[]],content,1
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\App.java,mashinaphamacyinformationsystem.App,main/1[java.lang.String[]],s,0
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,main/1[java.lang.String[]],args,0
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,main/1[java.lang.String[]],enterData,0
C:\OOD\Java\MashinaPhamacyInformationSystem-master\src\mashinaphamacyinformationsystem\EnterData.java,mashinaphamacyinformationsystem.EnterData,menuDeselected/1[javax.swing.event.MenuEvent],e,0
