file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Meal-Management-System-master\src\Main_frame.java,Main_frame$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0,1,1,0,0,0,7,-1,0
C:\OOD\Java\Meal-Management-System-master\src\Main_frame.java,Main_frame$Anonymous2,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,-1,0
C:\OOD\Java\Meal-Management-System-master\src\Main_frame.java,Main_frame$Anonymous3,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,-1,0
C:\OOD\Java\Meal-Management-System-master\src\MemberPanel.java,MemberPanel,class,4,8,4,4,5,5,0,18,0,0.5714286,NaN,NaN,4,0,1,3,0,0,1,0,0,0,7,0,0,7,0,0,0,0,0,92,0,1,0,0,0,11,28,21,0,21,1,2,0,0,55,1,0
C:\OOD\Java\Meal-Management-System-master\src\Meal.java,Meal,class,0,2,2,0,7,1,0,0,3,0.5714286,0.42857143,1.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,29,3,0,0,0,0,0,0,6,0,3,0,0,0,0,7,1,0
C:\OOD\Java\Meal-Management-System-master\src\Process.java,Process$Anonymous2,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,-1,0
C:\OOD\Java\Meal-Management-System-master\src\Process.java,Process,class,4,8,4,4,11,5,0,20,2,0.7200001,0.0,0.0,5,0,2,3,0,0,2,0,0,0,10,0,0,8,0,2,0,0,5,137,0,2,1,1,3,22,54,35,6,33,3,2,0,0,73,1,0
C:\OOD\Java\Meal-Management-System-master\src\Process.java,Process$Anonymous1,anonymous,1,1,0,1,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,3,0,3,0,0,0,0,13,-1,0
C:\OOD\Java\Meal-Management-System-master\src\MemberFileOperations.java,MemberFileOperations,class,2,5,3,2,8,1,0,9,0,0.6,0.5,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,1,41,1,2,0,1,0,3,0,7,0,7,1,0,0,0,24,1,0
C:\OOD\Java\Meal-Management-System-master\src\MemberPanel.java,MemberPanel$Anonymous1,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,2,0,2,0,0,0,0,10,-1,0
C:\OOD\Java\Meal-Management-System-master\src\Main_frame.java,Main_frame,class,3,5,2,3,5,1,0,18,4,0.75,0.0,0.0,4,2,3,1,0,0,3,0,0,0,6,4,0,1,0,5,0,0,4,73,1,0,0,0,0,11,16,13,0,14,1,3,0,0,53,1,0
C:\OOD\Java\Meal-Management-System-master\src\MemberPanel.java,MemberPanel$Anonymous2,anonymous,1,1,0,1,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,-1,0
C:\OOD\Java\Meal-Management-System-master\src\Member.java,Member,class,0,2,2,0,5,1,0,0,0,0.4,0.6,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,21,2,0,0,0,0,0,0,4,0,2,0,0,0,0,6,1,0
C:\OOD\Java\Meal-Management-System-master\src\ProcessFile.java,ProcessFile,class,2,5,3,2,8,1,0,10,0,0.6,0.5,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,1,43,1,2,0,1,0,3,0,8,0,8,1,0,0,0,25,1,0
