file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\InsertNewReceiptJDialog.java,com.minesota.tax.calculator.view.InsertNewReceiptJDialog$Anonymous1,anonymous,0,0,0,0,5,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,2,0,0,1,0,1,0,1,1,0,0,0,5,-1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\InsertNewReceiptJDialog.java,com.minesota.tax.calculator.view.InsertNewReceiptJDialog$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\LoadedTaxpayersJDialog.java,com.minesota.tax.calculator.view.LoadedTaxpayersJDialog$Anonymous1,anonymous,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,class,3,7,4,3,7,1,0,15,6,0.0,0.0,0.0,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,27,2,0,0,0,3,1,9,1,9,2,1,0,0,1,60,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,class,2,10,8,2,20,1,0,4,110,0.8166668,0.21052632,0.8105263,20,0,20,0,0,0,20,0,0,0,9,0,0,9,0,0,0,0,5,78,10,0,0,0,0,11,2,17,1,9,0,0,0,0,25,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\BasicTaxBuilder.java,com.minesota.tax.calculator.util.BasicTaxBuilder,class,3,5,2,3,6,1,0,12,1,0.5,0.0,0.0,2,1,1,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,5,15,1,0,1,0,2,1,86,1,3,3,0,0,0,2,67,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\ApplicationConstants.java,com.minesota.tax.calculator.util.ApplicationConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,6,0,0,8,0,0,0,0,0,60,0,6,0,6,0,0,0,0,38,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\manager\FilesManager.java,com.minesota.tax.calculator.manager.FilesManager,class,7,16,9,7,40,1,0,57,28,0.71153843,0.33333334,0.5833333,13,1,9,4,0,0,9,0,0,0,4,2,0,3,0,1,1,0,21,224,11,5,7,5,1,115,61,41,62,37,2,0,0,1,205,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\InsertNewReceiptJDialog.java,com.minesota.tax.calculator.view.InsertNewReceiptJDialog,class,4,5,1,4,10,6,0,33,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,156,0,0,0,0,0,51,116,23,0,24,2,2,0,1,60,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\TaxpayerLoadDataJDialog.java,com.minesota.tax.calculator.view.TaxpayerLoadDataJDialog$Anonymous1,anonymous,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\Company.java,com.minesota.tax.calculator.model.Company,class,0,2,2,0,6,1,0,0,5,0.6666667,0.33333334,1.0,6,0,6,0,0,0,6,0,0,0,5,0,0,5,0,0,5,0,0,29,5,0,0,0,0,0,0,5,0,5,0,0,0,0,12,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\Receipt.java,com.minesota.tax.calculator.model.Receipt,class,1,7,6,1,12,1,0,7,14,0.6666667,0.3939394,1.0,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,2,47,6,0,0,0,0,10,0,10,1,5,0,0,0,0,16,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\LoadedTaxpayersJDialog.java,com.minesota.tax.calculator.view.LoadedTaxpayersJDialog,class,5,7,2,5,13,6,0,54,0,0.41666666,1.0,1.0,2,0,2,0,0,0,2,0,0,0,6,2,0,6,0,0,6,0,13,170,0,0,10,0,0,39,53,30,6,35,4,1,0,7,103,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\test\src\AppTests.java,AppTests,class,6,6,0,6,5,1,0,26,0,0.6875,0.5,0.5,4,0,4,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,15,26,0,0,1,0,0,73,9,6,2,6,0,0,0,0,92,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\enumeration\FamilyStatusEnum.java,com.minesota.tax.calculator.model.enumeration.FamilyStatusEnum,enum,1,7,6,1,6,1,0,6,0,0.33333334,1.0,1.0,3,1,2,0,0,1,3,0,0,0,2,1,0,2,0,0,1,0,2,20,4,1,1,0,0,7,0,2,1,2,2,0,0,0,38,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\MainJFrameWindow.java,com.minesota.tax.calculator.view.MainJFrameWindow,class,4,5,1,4,5,1,0,33,1,0.5,0.0,0.0,3,1,2,1,0,0,2,0,0,0,2,0,0,2,0,0,1,0,3,73,0,0,1,1,0,10,28,12,0,15,2,0,0,4,51,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\manager\ChartsManager.java,com.minesota.tax.calculator.manager.ChartsManager,class,11,14,3,11,7,1,0,20,2,0.5833333,0.33333334,0.5,4,1,4,0,0,0,4,0,0,0,3,1,0,3,0,0,1,0,8,49,2,0,3,0,1,24,3,15,1,14,1,0,0,0,42,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxCategory.java,com.minesota.tax.calculator.model.TaxCategory,class,2,3,1,2,9,1,0,0,12,0.6666667,0.33333334,1.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,36,4,0,0,0,0,0,0,8,0,4,0,0,0,0,16,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\TaxpayerReceiptsManagementJDialog.java,com.minesota.tax.calculator.view.TaxpayerReceiptsManagementJDialog,class,4,6,2,4,5,6,0,36,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,4,99,0,1,2,0,0,24,31,15,4,14,3,3,0,1,60,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\TaxpayerReceiptsManagementJDialog.java,com.minesota.tax.calculator.view.TaxpayerReceiptsManagementJDialog$Anonymous1,anonymous,3,3,0,3,2,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,1,0,0,2,1,1,0,1,1,0,0,0,12,-1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\TaxpayerLoadDataJDialog.java,com.minesota.tax.calculator.view.TaxpayerLoadDataJDialog,class,1,2,1,1,7,6,0,40,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,1,0,4,77,0,2,1,0,1,17,24,18,2,19,3,1,0,3,75,1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\TaxpayerReceiptsManagementJDialog.java,com.minesota.tax.calculator.view.TaxpayerReceiptsManagementJDialog$Anonymous3,anonymous,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,9,-1,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\TaxpayerReceiptsManagementJDialog.java,com.minesota.tax.calculator.view.TaxpayerReceiptsManagementJDialog$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16,-1,0
