file,class,method,variable,usage
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\LoadedTaxpayersJDialog.java,com.minesota.tax.calculator.view.LoadedTaxpayersJDialog$Anonymous1,getElementAt/1[int],values,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setTaxDecrease/1[double],taxDecrease,3
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,getBasicTax/0,basicTax,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,getVat/0,vat,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,getTotalTax/0,totalTax,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setTaxIncrease/1[double],taxIncrease,3
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setName/1[java.lang.String],name,3
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,getName/0,name,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setIncome/1[double],income,3
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,getTaxDecrease/0,taxDecrease,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setBasicTax/1[double],basicTax,3
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,getReceipts/0,receipts,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setVat/1[java.lang.String],vat,3
