file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\InsertNewReceiptJDialog.java,com.minesota.tax.calculator.view.InsertNewReceiptJDialog$Anonymous1,keyTyped/1[java.awt.event.KeyEvent],false,44,0,0,0,0,5,5,9,0,1,1,5,0,0,0,2,0,0,1,0,1,0,1,0,0,0,5,1,0,false
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\InsertNewReceiptJDialog.java,com.minesota.tax.calculator.view.InsertNewReceiptJDialog$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],false,194,0,5,0,5,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\LoadedTaxpayersJDialog.java,com.minesota.tax.calculator.view.LoadedTaxpayersJDialog$Anonymous1,getElementAt/1[int],false,219,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\LoadedTaxpayersJDialog.java,com.minesota.tax.calculator.view.LoadedTaxpayersJDialog$Anonymous1,getSize/0,false,216,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,applyTaxPayerTaxAdjustments/1[com.minesota.tax.calculator.model.TaxPayer],false,51,2,11,2,9,4,9,16,0,1,1,9,1,1,0,0,0,3,0,7,1,9,1,0,0,0,31,9,0,true
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,getReceiptsTotalAmount/1[java.util.List<com.minesota.tax.calculator.model.Receipt>],false,39,1,3,3,0,1,3,3,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,9,0,true
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,TaxPayerUtils/0,true,14,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,2,0,false
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,"getReceiptsTotalAmount/2[java.lang.String,java.util.List<com.minesota.tax.calculator.model.Receipt>]",false,25,1,4,3,1,1,6,3,1,1,2,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20,9,0,true
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setTaxDecrease/1[double],false,91,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,getBasicTax/0,false,71,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
