file,class,method,variable,usage
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\InsertNewReceiptJDialog.java,com.minesota.tax.calculator.view.InsertNewReceiptJDialog$Anonymous1,keyTyped/1[java.awt.event.KeyEvent],keyEvent,3
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\InsertNewReceiptJDialog.java,com.minesota.tax.calculator.view.InsertNewReceiptJDialog$Anonymous1,keyTyped/1[java.awt.event.KeyEvent],charTyped,3
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\InsertNewReceiptJDialog.java,com.minesota.tax.calculator.view.InsertNewReceiptJDialog$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\view\LoadedTaxpayersJDialog.java,com.minesota.tax.calculator.view.LoadedTaxpayersJDialog$Anonymous1,getElementAt/1[int],index,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,applyTaxPayerTaxAdjustments/1[com.minesota.tax.calculator.model.TaxPayer],taxPayer,16
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,applyTaxPayerTaxAdjustments/1[com.minesota.tax.calculator.model.TaxPayer],receiptsTotal,3
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,getReceiptsTotalAmount/1[java.util.List<com.minesota.tax.calculator.model.Receipt>],receipts,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,"getReceiptsTotalAmount/2[java.lang.String,java.util.List<com.minesota.tax.calculator.model.Receipt>]",receipts,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,"getReceiptsTotalAmount/2[java.lang.String,java.util.List<com.minesota.tax.calculator.model.Receipt>]",rec,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\util\TaxPayerUtils.java,com.minesota.tax.calculator.util.TaxPayerUtils,"getReceiptsTotalAmount/2[java.lang.String,java.util.List<com.minesota.tax.calculator.model.Receipt>]",receiptKind,1
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setTaxDecrease/1[double],taxDecrease,2
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setTaxIncrease/1[double],taxIncrease,2
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setName/1[java.lang.String],name,2
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setIncome/1[double],income,2
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setBasicTax/1[double],basicTax,2
C:\OOD\Java\Minnesota-Income-Tax-Calculation-Project-develop\src\main\java\com\minesota\tax\calculator\model\TaxPayer.java,com.minesota.tax.calculator.model.TaxPayer,setVat/1[java.lang.String],vat,2
