file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,class,2,4,2,2,7,1,0,0,11,0.6666667,0.23809524,0.23809524,7,0,6,0,0,1,7,0,0,0,3,0,0,3,0,0,0,0,0,26,3,0,0,0,0,0,0,4,0,3,0,0,0,0,14,1,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\hasCost.java,com.company.hasCost,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,class,5,5,0,5,15,1,0,17,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,96,0,1,9,1,0,29,9,13,5,11,5,0,0,0,48,1,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\ConsoleColors.java,com.company.ConsoleColors,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,57,57,57,0,0,0,57,0,0,59,0,0,0,0,0,57,0,57,0,57,0,0,0,0,22,1,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,class,5,7,2,5,43,1,0,25,0,0.62222224,0.7619048,0.8666667,15,0,12,0,0,3,15,0,0,0,3,0,0,2,0,1,1,0,1,136,7,14,7,2,1,7,16,31,2,29,4,0,0,0,58,1,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\Vehicle.java,com.company.Vehicle,class,1,7,6,1,5,1,2,0,2,0.5,0.4,0.6,5,0,5,0,0,0,5,1,0,0,2,0,0,2,0,0,0,0,0,18,2,0,0,0,0,0,0,3,0,2,0,0,0,0,13,1025,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\Car.java,com.company.Car,class,1,2,1,1,4,2,0,3,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,3,17,3,0,0,0,1,0,2,2,2,2,0,0,0,0,14,1,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\Ticket.java,com.company.Ticket,class,3,7,4,3,5,1,0,9,0,0.53333336,0.6,1.0,5,0,4,0,0,1,5,0,0,0,3,1,2,1,0,0,0,0,1,22,3,0,0,0,0,17,2,5,1,3,0,0,0,0,17,1,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingFloor.java,com.company.ParkingFloor,class,2,4,2,2,8,1,0,1,3,0.61904764,0.4,0.4,7,0,5,1,0,1,6,0,0,0,3,0,0,2,0,1,1,0,0,29,3,1,0,0,0,0,2,7,0,4,1,0,0,0,20,1,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\Truck.java,com.company.Truck,class,1,2,1,1,4,2,0,1,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,2,16,3,0,0,0,2,0,4,1,4,1,0,0,0,0,13,1,0
