file,class,method,variable,usage
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,getVehicle/0,vehicle,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setVehicle/1[com.company.Vehicle],vehicle,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,getTicket/0,ticket,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,ParkingSlot/1[boolean],occupied,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setTicket/1[com.company.Ticket],ticket,4
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,isOccupied/0,occupied,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setOccupied/1[boolean],occupied,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,getFloors/0,floors,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,deAllocateSlot/1[com.company.Ticket],floors,4
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,printOccupiedSlots/0,floors,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,loadFile/0,filename,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,loadFile/0,floors,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"removeVehicle/3[int,int,com.company.Ticket]",floors,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,clearFile/0,filename,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"addVehicle/4[int,com.company.Vehicle,int,com.company.Ticket]",floors,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,printAllSlots/0,floors,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findTicket/1[int],floors,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findVehicle/1[int],floors,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"allocateSlot/3[com.company.Vehicle,int,com.company.Ticket]",floors,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,getFreeSlotCount/0,floors,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,createFloors/0,floors,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,createFloors/0,MAXFLOORS,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,saveFile/0,filename,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,saveFile/0,floors,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\Vehicle.java,com.company.Vehicle,setSpacesNeeded/1[int],spacesNeeded,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\Vehicle.java,com.company.Vehicle,"Vehicle/2[int,int]",spacesNeeded,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\Vehicle.java,com.company.Vehicle,"Vehicle/2[int,int]",plate,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\Vehicle.java,com.company.Vehicle,getSpacesNeeded/0,spacesNeeded,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\Vehicle.java,com.company.Vehicle,getPlate/0,plate,1
