file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,getVehicle/0,false,38,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setVehicle/1[com.company.Vehicle],false,42,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,getTicket/0,false,19,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,ParkingSlot/1[boolean],true,10,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,false
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setTicket/1[com.company.Ticket],false,26,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,true
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,isOccupied/0,false,30,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setOccupied/1[boolean],false,34,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Parking-Management-System-master\src\com\company\hasCost.java,com.company.hasCost,"getCost/2[long,double]",false,4,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Parking-Management-System-master\src\com\company\hasCost.java,com.company.hasCost,getCostFactor/0,false,6,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],false,6,5,13,0,13,15,17,94,0,11,1,17,0,0,1,9,1,0,29,9,13,5,5,0,0,0,47,9,0,false
