file,class,method,variable,usage
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setVehicle/1[com.company.Vehicle],vehicle,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,ParkingSlot/1[boolean],occupied,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setTicket/1[com.company.Ticket],ticket,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingSlot.java,com.company.ParkingSlot,setOccupied/1[boolean],occupied,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\hasCost.java,com.company.hasCost,"getCost/2[long,double]",parkingDuration,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\hasCost.java,com.company.hasCost,"getCost/2[long,double]",costFactor,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],args,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],parkingLot,9
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],vehTicket,6
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],flag,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],PASSWORD,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],ticket,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],e,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],scanner,10
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],plate,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],selected,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],option,7
C:\OOD\Java\Parking-Management-System-master\src\com\company\App.java,com.company.App,main/1[java.lang.String[]],vehicle,4
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,deAllocateSlot/1[com.company.Ticket],ticket,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,deAllocateSlot/1[com.company.Ticket],j,7
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,deAllocateSlot/1[com.company.Ticket],k,6
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,printOccupiedSlots/0,j,5
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,printOccupiedSlots/0,k,5
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,loadFile/0,fileInputStream,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,loadFile/0,objectInputStream,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,loadFile/0,e,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"removeVehicle/3[int,int,com.company.Ticket]",ticket,0
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"removeVehicle/3[int,int,com.company.Ticket]",slotNumber,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"removeVehicle/3[int,int,com.company.Ticket]",floorNumber,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"removeVehicle/3[int,int,com.company.Ticket]",slot,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,clearFile/0,file,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"addVehicle/4[int,com.company.Vehicle,int,com.company.Ticket]",ticket,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"addVehicle/4[int,com.company.Vehicle,int,com.company.Ticket]",slotNumber,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"addVehicle/4[int,com.company.Vehicle,int,com.company.Ticket]",floorNumber,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"addVehicle/4[int,com.company.Vehicle,int,com.company.Ticket]",slot,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"addVehicle/4[int,com.company.Vehicle,int,com.company.Ticket]",vehicle,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,printAllSlots/0,j,4
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,printAllSlots/0,k,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findTicket/1[int],veh,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findTicket/1[int],plate,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findTicket/1[int],j,4
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findTicket/1[int],k,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findTicket/1[int],slot,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findVehicle/1[int],veh,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findVehicle/1[int],plate,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findVehicle/1[int],j,4
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findVehicle/1[int],k,3
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,findVehicle/1[int],slot,2
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"allocateSlot/3[com.company.Vehicle,int,com.company.Ticket]",ticket,1
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"allocateSlot/3[com.company.Vehicle,int,com.company.Ticket]",floorNumber,4
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"allocateSlot/3[com.company.Vehicle,int,com.company.Ticket]",k,5
C:\OOD\Java\Parking-Management-System-master\src\com\company\ParkingLot.java,com.company.ParkingLot,"allocateSlot/3[com.company.Vehicle,int,com.company.Ticket]",vehicle,1
