file,class,method,variable,usage
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,CarType/0,rand,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,CarType/0,type,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,Numberplate/0,rand,4
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,Numberplate/0,alpha,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,Numberplate/0,dist,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,Numberplate/0,states,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,CardNumber/0,rand,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,CardType/0,rand,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,CardType/0,cardtype,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,CarColor/0,rand,1
C:\OOD\Java\Parking_Lot-main\RandomInfo.java,RandomInfo,CarColor/0,color,1
C:\OOD\Java\Parking_Lot-main\Payment.java,Payment,"TotalAmount/2[int,int]",TotalAmountForHour,2
C:\OOD\Java\Parking_Lot-main\Payment.java,Payment,"TotalAmount/2[int,int]",TotalAmountForMinute,4
C:\OOD\Java\Parking_Lot-main\Payment.java,Payment,"TotalAmount/2[int,int]",HourAmount,1
C:\OOD\Java\Parking_Lot-main\ParkingSpot.java,ParkingSpot,SpotNum/0,arr,2
C:\OOD\Java\Parking_Lot-main\ParkingSpot.java,ParkingSpot,sipe/0,arr,1
C:\OOD\Java\Parking_Lot-main\ParkingSpot.java,ParkingSpot,FreeSpot/1[int],arr,1
C:\OOD\Java\Parking_Lot-main\ParkingSpot.java,ParkingSpot,si/0,arr,2
C:\OOD\Java\Parking_Lot-main\Car.java,Car,getNumberPlate/0,NumberPlate,1
C:\OOD\Java\Parking_Lot-main\Car.java,Car,setNumberPlate/1[java.lang.String],NumberPlate,3
C:\OOD\Java\Parking_Lot-main\Car.java,Car,getCarType/0,CarType,1
C:\OOD\Java\Parking_Lot-main\Car.java,Car,setCarColor/1[java.lang.String],CarColor,3
C:\OOD\Java\Parking_Lot-main\Car.java,Car,getCarColor/0,CarColor,1
C:\OOD\Java\Parking_Lot-main\Car.java,Car,setCarType/1[java.lang.String],CarType,3
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,getTime/0,enterTime,1
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,setSpotNumber/1[int],SpotNumber,3
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,getDate/0,enterDate,1
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,setDate/1[java.lang.String],enterDate,3
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,setAssignedCar/1[Car],car,3
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,setCardNumber/1[long],CardNumber,3
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,setTime/1[java.lang.String],enterTime,3
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,getCardType/0,CardType,1
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,getSpotNumber/0,SpotNumber,1
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,setCardType/1[java.lang.String],CardType,3
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,getCardNumber/0,CardNumber,1
C:\OOD\Java\Parking_Lot-main\ParkingTicket.java,ParkingTicket,getAssignedCar/0,car,1
