file,class,method,variable,usage
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/3[java.lang.String,double,java.lang.String]",diameter,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/3[java.lang.String,double,java.lang.String]",sizeStr,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,toString/0,sizeStr,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,PizzaBase/1[ingredients.PizzaBase],diameter,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,PizzaBase/1[ingredients.PizzaBase],sizeStr,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/2[ingredients.PizzaBase,java.lang.String]",diameter,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/2[ingredients.PizzaBase,java.lang.String]",sizeStr,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,clone/0,sizeStr,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,getSizeString/0,sizeStr,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,setSize/1[java.lang.String],diameter,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,setSize/1[java.lang.String],sizeStr,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,getDiameter/0,diameter,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,getSquareInches/0,diameter,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,equals/1[java.lang.Object],sizeStr,6
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,remove/1[java.lang.String],foods,7
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,remove/1[java.lang.String],count,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,getPositionSameName/1[java.lang.String],foods,3
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,add/1[ingredients.Food],foods,3
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,add/1[ingredients.Food],count,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,contains/1[ingredients.Food],foods,4
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,toString/0,foods,14
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,findFirstNull/0,foods,2
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,get/1[java.lang.String],foods,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,clone/0,foods,3
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,clone/0,count,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,FoodSet/0,foods,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,FoodSet/0,count,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,count/0,count,2
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,increaseLength/0,foods,6
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,containsNull/0,foods,2
C:\OOD\Java\Pizza-Shop-main\src\ingredients\FoodSet.java,ingredients.FoodSet,FoodSet/1[ingredients.FoodSet],foods,3
