file,class,method,variable,usage
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/3[java.lang.String,double,java.lang.String]",size,2
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/3[java.lang.String,double,java.lang.String]",price,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/3[java.lang.String,double,java.lang.String]",name,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,PizzaBase/1[ingredients.PizzaBase],other,4
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,main/1[java.lang.String[]],args,0
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,main/1[java.lang.String[]],secondPizzaBase,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,main/1[java.lang.String[]],thirdPizzaBase,2
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,main/1[java.lang.String[]],fourthPizzaBase,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,main/1[java.lang.String[]],firstPizzaBase,10
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/2[ingredients.PizzaBase,java.lang.String]",other,3
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/2[ingredients.PizzaBase,java.lang.String]",size,2
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,"PizzaBase/2[ingredients.PizzaBase,java.lang.String]",newPrice,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,clone/0,copiedSize,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,clone/0,copiedName,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,clone/0,copiedPrice,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,clone/0,deepCopy,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,setSize/1[java.lang.String],oldCostPerSquareInch,1
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,setSize/1[java.lang.String],size,5
C:\OOD\Java\Pizza-Shop-main\src\ingredients\PizzaBase.java,ingredients.PizzaBase,setSize/1[java.lang.String],newPrice,1
