file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Point-of-Sale-System-master\src\UpdateEmployee_Interface.java,UpdateEmployee_Interface,class,3,4,1,3,6,6,0,15,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,12,1,0,12,0,0,1,0,2,77,0,0,4,0,0,12,51,16,0,15,4,0,0,0,57,1,0
C:\OOD\Java\Point-of-Sale-System-master\src\ReturnItem.java,ReturnItem,class,0,3,3,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,1,0
C:\OOD\Java\Point-of-Sale-System-master\tests\POHTest.java,POHTest,class,6,6,0,6,8,1,0,5,28,0.0,0.0,0.0,8,2,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,8,1,6,0,6,0,0,0,0,29,1,0
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,class,4,8,4,4,12,6,0,22,0,0.14285715,1.0,1.0,2,0,2,0,0,0,2,0,0,0,7,1,0,6,0,1,1,0,8,90,0,1,5,0,4,18,20,22,7,18,4,0,0,0,71,1,0
C:\OOD\Java\Point-of-Sale-System-master\src\POSSystem.java,POSSystem,class,5,14,9,5,33,1,0,30,1,0.71428573,0.16666667,0.16666667,7,0,4,3,0,0,4,0,0,0,11,3,5,1,0,5,0,0,8,152,10,2,3,4,10,46,12,44,5,36,3,0,0,0,76,1,0
C:\OOD\Java\Point-of-Sale-System-master\src\PointOfSale.java,PointOfSale,class,3,10,7,3,36,1,3,24,61,0.88666666,0.20952381,0.42857143,15,0,15,0,0,0,15,3,0,0,10,3,8,1,0,1,0,0,4,122,14,5,8,2,1,11,15,36,7,27,2,0,0,0,81,1024,0
C:\OOD\Java\Point-of-Sale-System-master\tests\EmployeeTest.java,EmployeeTest,class,6,6,0,6,12,1,0,9,66,0.0,0.0,0.0,12,2,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,42,0,18,0,18,0,0,0,0,26,1,0
C:\OOD\Java\Point-of-Sale-System-master\src\Transaction_Interface.java,Transaction_Interface,class,10,12,2,10,22,6,0,32,0,0.40000004,1.0,1.0,3,0,2,1,0,0,2,0,0,0,15,1,1,12,0,2,1,0,13,144,0,1,6,0,4,36,38,47,22,29,5,0,0,0,98,1,0
C:\OOD\Java\Point-of-Sale-System-master\src\EmployeeManagement.java,EmployeeManagement,class,2,7,5,2,32,1,0,28,0,0.5416667,0.6,0.6,6,0,5,1,0,0,5,0,0,0,4,1,3,0,0,1,0,0,8,135,5,5,2,4,5,41,17,41,9,30,4,0,0,0,54,1,0
C:\OOD\Java\Point-of-Sale-System-master\tests\PORTest.java,PORTest,class,6,6,0,6,8,1,0,5,28,0.0,0.0,0.0,8,2,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,8,1,6,0,6,0,0,0,0,29,1,0
