file,class,method,variable,usage
C:\OOD\Java\Point-of-Sale-System-master\src\UpdateEmployee_Interface.java,UpdateEmployee_Interface,actionPerformed/1[java.awt.event.ActionEvent],result,2
C:\OOD\Java\Point-of-Sale-System-master\src\UpdateEmployee_Interface.java,UpdateEmployee_Interface,actionPerformed/1[java.awt.event.ActionEvent],management,1
C:\OOD\Java\Point-of-Sale-System-master\src\UpdateEmployee_Interface.java,UpdateEmployee_Interface,actionPerformed/1[java.awt.event.ActionEvent],event,2
C:\OOD\Java\Point-of-Sale-System-master\src\UpdateEmployee_Interface.java,UpdateEmployee_Interface,actionPerformed/1[java.awt.event.ActionEvent],sys,1
C:\OOD\Java\Point-of-Sale-System-master\src\UpdateEmployee_Interface.java,UpdateEmployee_Interface,UpdateEmployee_Interface/1[Admin_Interface],admin,2
C:\OOD\Java\Point-of-Sale-System-master\src\ReturnItem.java,ReturnItem,"ReturnItem/2[int,int]",itemID,2
C:\OOD\Java\Point-of-Sale-System-master\src\ReturnItem.java,ReturnItem,"ReturnItem/2[int,int]",daysSinceReturn,2
C:\OOD\Java\Point-of-Sale-System-master\tests\POHTest.java,POHTest,testDeleteTempItem/0,instance,1
C:\OOD\Java\Point-of-Sale-System-master\tests\POHTest.java,POHTest,testDeleteTempItem/0,id,1
C:\OOD\Java\Point-of-Sale-System-master\tests\POHTest.java,POHTest,testEndPOS/0,instance,1
C:\OOD\Java\Point-of-Sale-System-master\tests\POHTest.java,POHTest,testEndPOS/0,textFile,1
C:\OOD\Java\Point-of-Sale-System-master\tests\POHTest.java,POHTest,testRetrieveTemp/0,instance,1
C:\OOD\Java\Point-of-Sale-System-master\tests\POHTest.java,POHTest,testRetrieveTemp/0,textFile,1
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,actionPerformed/1[java.awt.event.ActionEvent],event,4
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,actionPerformed/1[java.awt.event.ActionEvent],login,2
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],system2,1
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],system,2
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],management,2
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],phone,2
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],tk,2
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],options,2
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],ySize,5
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],phoneNum,5
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],xSize,5
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],choice,2
C:\OOD\Java\Point-of-Sale-System-master\src\Cashier_Interface.java,Cashier_Interface,Cashier_Interface/1[POSSystem],operation,1
C:\OOD\Java\Point-of-Sale-System-master\src\POSSystem.java,POSSystem,continueFromTemp/1[long],textReader,5
C:\OOD\Java\Point-of-Sale-System-master\src\POSSystem.java,POSSystem,continueFromTemp/1[long],temp,2
C:\OOD\Java\Point-of-Sale-System-master\src\POSSystem.java,POSSystem,continueFromTemp/1[long],sale,1
C:\OOD\Java\Point-of-Sale-System-master\src\POSSystem.java,POSSystem,continueFromTemp/1[long],ex,1
C:\OOD\Java\Point-of-Sale-System-master\src\POSSystem.java,POSSystem,continueFromTemp/1[long],phone,2
