file,class,method,variable,usage
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLabel3,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTextField7,3
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLabel2,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLabel5,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLabel4,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLabel7,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTextField4,3
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLabel6,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,Start,7
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTextField3,3
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTextField6,3
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTextField5,2
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jScrollPane1,2
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jScrollPane2,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLabel1,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jPanel1,8
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jComboBox1,6
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jPanel2,8
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTextField2,3
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTextField1,3
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jPanel3,7
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTable1,3
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jTable2,4
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jBtnAdd,5
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jMenuBar1,2
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLayeredPane1,9
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jBtnComplete,7
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],pst,2
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],rs,6
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],jTextField7,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],conn,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],jTextField4,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],jTextField6,1
