file,class,method,variable,usage
C:\OOD\Java\Queue-Management-System-master\src\JavaConnector.java,JavaConnector,ConnecrDb/0,conn,1
C:\OOD\Java\Queue-Management-System-master\src\JavaConnector.java,JavaConnector,ConnecrDb/0,e,0
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home$Anonymous4,mouseClicked/1[java.awt.event.MouseEvent],evt,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,layout,5
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jPanel2Layout,16
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jPanel3Layout,7
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jPanel1Layout,14
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,initComponents/0,jLayeredPane1Layout,10
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],Table_click,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],evt,0
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],e,0
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],row,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],add2,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],add1,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],add4,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],sql,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2MouseClicked/1[java.awt.event.MouseEvent],add3,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],Get_value,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],e,0
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],row,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],add2,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],add1,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],add4,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],sql,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,StartActionPerformed/1[java.awt.event.ActionEvent],add3,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,Delete/0,e,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,Delete/0,sql,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jBtnAddActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jBtnAddActionPerformed/1[java.awt.event.ActionEvent],e,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jBtnAddActionPerformed/1[java.awt.event.ActionEvent],sql,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,main/1[java.lang.String[]],args,0
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,main/1[java.lang.String[]],ex,7
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,main/1[java.lang.String[]],info,2
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2/0,e,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jTable2/0,sql,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home,jBtnCompleteActionPerformed/1[java.awt.event.ActionEvent],evt,0
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],evt,1
C:\OOD\Java\Queue-Management-System-master\src\Home.java,Home$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],evt,1
