file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,class,3,5,2,3,6,2,0,4,0,0.33333334,0.73333335,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,1,24,3,0,0,0,0,1,0,2,0,2,0,0,0,0,12,1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main$Anonymous1,anonymous,2,2,0,2,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,13,0,1,0,1,0,0,1,0,0,0,2,0,0,0,11,-1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneChangeListener.java,kartracinggame.SceneChangeListener,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,enum,1,4,3,1,7,1,0,0,2,0.5,0.33333334,0.5,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,24,6,0,0,0,0,6,3,2,0,2,1,0,0,0,24,1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,class,17,19,2,17,59,6,0,60,0,0.7052632,0.9047619,1.0,10,0,7,3,0,0,7,0,0,1,14,0,0,14,0,0,1,0,9,237,0,2,19,0,13,42,126,60,14,46,4,0,0,0,113,1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\DemoKart.java,kartracinggame.DemoKart,class,1,2,1,1,2,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,1,2,2,2,0,0,0,0,18,1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneManager.java,kartracinggame.SceneManager,class,3,6,3,3,8,1,0,3,3,0.6111111,0.2,0.2,6,1,5,1,0,0,5,0,0,0,3,1,0,3,0,0,0,0,0,29,2,1,1,0,0,0,0,3,0,3,1,0,0,0,16,1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Collider.java,kartracinggame.Collider,class,1,4,3,1,2,4,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,2,0,2,0,4,0,0,0,0,0,10,1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartCollideListener.java,kartracinggame.KartCollideListener,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Client.java,kartracinggame.Client$Anonymous1,anonymous,3,3,0,3,4,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1,1,0,1,0,3,0,3,3,0,0,0,15,-1,0
