file,class,method,variable,usage
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,getAngle/0,angle,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,toString/0,action,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,toString/0,angle,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,setAngle/1[double],angle,3
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,setAction/1[kartracinggame.KartAction],action,3
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,getAction/0,action,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,"KartUpdateRequest/2[kartracinggame.KartAction,double]",action,2
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,"KartUpdateRequest/2[kartracinggame.KartAction,double]",angle,2
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,"Status/2[int,java.lang.String]",code,3
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,"Status/2[int,java.lang.String]",text,3
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,getCode/0,code,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,getText/0,text,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,fromString/1[java.lang.String],INVALID_DATA,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,fromString/1[java.lang.String],OK,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,fromString/1[java.lang.String],INVALID_TYPE,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,"RaceScene/1[java.util.HashMap<java.lang.String,java.lang.Object>]",kartDataBuffer,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,"RaceScene/1[java.util.HashMap<java.lang.String,java.lang.Object>]",roadManager,1
