file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,getAngle/0,false,26,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,toString/0,false,31,1,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,setAngle/1[double],false,22,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,setAction/1[kartracinggame.KartAction],false,14,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,getAction/0,false,18,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,"KartUpdateRequest/2[kartracinggame.KartAction,double]",true,8,2,3,1,2,1,2,5,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main$Anonymous1,windowClosing/1[java.awt.event.WindowEvent],false,31,2,3,0,3,3,4,11,0,0,1,4,0,0,1,0,1,0,0,1,0,0,2,0,0,0,11,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneChangeListener.java,kartracinggame.SceneChangeListener,sceneChanged/1[kartracinggame.Scene],false,5,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,"Status/2[int,java.lang.String]",true,12,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,getCode/0,false,17,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,getText/0,false,21,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,fromString/1[java.lang.String],false,25,1,1,1,0,4,0,11,4,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,19,9,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,"RaceScene/1[java.util.HashMap<java.lang.String,java.lang.Object>]",true,36,5,7,1,6,1,5,9,0,0,1,5,1,1,0,0,0,0,1,1,3,0,0,0,0,0,14,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,initComponents/0,false,48,6,8,1,7,3,10,46,0,3,0,10,0,0,1,0,0,0,5,56,13,0,2,0,0,0,25,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,setupDisplay/1[java.awt.Graphics],false,138,2,5,0,5,1,16,30,0,8,1,16,2,1,0,0,0,2,6,33,8,7,0,0,0,0,23,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,kartCollided/1[kartracinggame.Kart],false,262,1,0,0,0,3,0,8,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,9,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,updateRankPanel/0,false,188,0,1,1,0,7,9,28,0,2,0,9,0,0,0,2,0,4,18,23,6,6,1,0,0,0,19,2,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,handleKeyPressed/1[int],false,109,4,3,0,3,7,2,22,0,1,1,2,0,0,0,0,0,1,0,4,5,0,1,0,0,0,14,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,updateFirstRank/1[kartracinggame.Kart],false,271,3,6,1,5,21,5,27,0,2,1,5,0,0,0,11,0,6,0,6,7,1,4,0,0,0,25,2,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,kartMoved/1[kartracinggame.Kart],false,244,5,5,0,5,5,4,12,0,0,1,4,1,1,0,2,0,0,0,0,0,0,1,0,0,0,13,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,updateKartData/1[java.lang.String],false,227,2,2,1,1,4,5,13,0,3,1,5,0,0,0,0,0,0,2,1,3,0,2,0,0,0,16,34,0,true
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,serverUpdated/1[kartracinggame.Response],false,313,6,8,0,8,7,13,26,0,8,1,13,0,0,1,2,0,0,10,1,8,0,4,0,0,0,19,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\DemoKart.java,kartracinggame.DemoKart,updateFrame/0,false,12,1,3,0,3,1,3,5,0,2,0,3,0,0,0,0,0,1,0,1,2,2,0,0,0,0,9,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\DemoKart.java,kartracinggame.DemoKart,"DemoKart/3[java.lang.String,int,int]",true,5,1,3,1,2,1,2,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneManager.java,kartracinggame.SceneManager,addListener/1[kartracinggame.SceneChangeListener],false,24,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneManager.java,kartracinggame.SceneManager,getCurrentScene/0,false,39,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneManager.java,kartracinggame.SceneManager,SceneManager/0,true,12,1,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneManager.java,kartracinggame.SceneManager,updateListeners/0,false,28,1,2,1,1,2,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,2,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneManager.java,kartracinggame.SceneManager,getInstance/0,false,16,1,3,2,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,9,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneManager.java,kartracinggame.SceneManager,setCurrentScene/1[kartracinggame.Scene],false,34,2,2,1,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Collider.java,kartracinggame.Collider,"centerize/2[double,double]",false,12,0,2,2,0,1,2,3,0,0,2,2,0,0,0,0,0,2,0,2,0,4,0,0,0,0,7,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Collider.java,kartracinggame.Collider,"Collider/4[int,int,int,int]",true,7,1,4,2,2,1,2,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartCollideListener.java,kartracinggame.KartCollideListener,kartCollided/1[kartracinggame.Kart],false,5,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Client.java,kartracinggame.Client$Anonymous1,run/0,false,34,3,13,0,13,4,8,17,0,3,0,8,0,0,1,1,1,0,1,0,3,0,3,0,0,0,15,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,getNumKarts/0,false,45,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,getLastData/1[java.lang.String],false,49,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,getBufferSize/1[java.lang.String],false,62,1,1,1,0,2,2,7,2,1,1,2,0,0,0,1,0,0,0,1,1,0,1,0,0,0,7,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,"KartDataFactory/2[int,int]",true,17,3,2,1,1,1,1,6,0,0,2,1,1,1,0,0,0,0,0,1,3,0,0,0,0,0,12,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,"addToBuffer/2[java.lang.String,kartracinggame.KartData]",false,70,1,1,1,0,1,3,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,getKartDatasString/1[java.lang.String],false,82,1,3,2,1,8,9,21,1,4,1,9,0,0,1,2,0,0,4,2,6,0,3,0,0,0,32,1,0,true
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,removeData/1[java.lang.String],false,53,0,1,1,0,2,2,8,0,0,1,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,6,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,"createKart/2[java.lang.String,java.lang.String]",false,30,1,2,1,1,1,3,8,0,2,2,3,0,0,0,0,0,0,0,3,2,2,0,0,0,0,27,1,0,true
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartDataFactory.java,kartracinggame.KartDataFactory,"setStartPosition/2[int,int]",false,40,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartAction.java,kartracinggame.KartAction,fromString/1[java.lang.String],false,12,1,3,3,0,7,0,17,7,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,25,9,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,initComponents/0,false,33,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,handleKeyPressed/1[int],false,37,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,getName/0,false,62,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,setName/1[java.lang.String],false,66,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,Scene/0,true,15,3,7,0,7,1,9,10,0,1,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,"setParams/1[java.util.HashMap<java.lang.String,java.lang.Object>]",false,58,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,finalize/0,false,70,1,3,1,2,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,setupDisplay/1[java.awt.Graphics],false,35,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,getParams/0,false,54,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,paintComponent/1[java.awt.Graphics],false,40,1,2,1,1,1,2,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,"Scene/1[java.util.HashMap<java.lang.String,java.lang.Object>]",true,28,1,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Scene.java,kartracinggame.Scene,navigateTo/1[kartracinggame.Scene],false,45,2,4,2,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,main/1[java.lang.String[]],false,45,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,keyTyped/1[java.awt.event.KeyEvent],false,63,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,initComponents/0,false,49,2,3,1,2,1,2,4,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,keyReleased/1[java.awt.event.KeyEvent],false,68,0,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,serverUpdated/1[kartracinggame.Response],false,97,3,3,0,3,3,3,6,0,0,1,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,8,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,showScene/1[kartracinggame.Scene],false,78,1,3,2,1,3,8,16,0,0,1,8,0,0,0,1,1,0,0,0,1,0,2,0,0,0,14,2,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,Main/0,true,17,3,7,1,6,1,8,23,0,0,0,8,1,2,0,0,0,0,0,2,2,0,0,1,0,0,35,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,keyPressed/1[java.awt.event.KeyEvent],false,55,1,1,0,1,2,3,6,0,0,1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main,sceneChanged/1[kartracinggame.Scene],false,73,2,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\ClientListenerThread.java,kartracinggame.ClientListenerThread,run/0,false,19,4,8,0,8,12,20,49,0,6,0,20,0,0,1,1,1,0,9,5,6,0,5,0,0,0,21,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\ClientListenerThread.java,kartracinggame.ClientListenerThread,ClientListenerThread/1[java.net.Socket],true,13,1,2,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Payload.java,kartracinggame.Payload,Payload/1[kartracinggame.PayloadType],true,7,2,3,2,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Payload.java,kartracinggame.Payload,setType/1[kartracinggame.PayloadType],false,11,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Payload.java,kartracinggame.Payload,toString/0,false,20,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Payload.java,kartracinggame.Payload,getType/0,false,15,1,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RoadManager.java,kartracinggame.RoadManager,"paint/2[java.awt.Graphics,java.awt.Color]",false,59,0,0,0,0,2,3,8,0,1,2,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RoadManager.java,kartracinggame.RoadManager,getCurrentRoadInd/1[kartracinggame.Kart],false,31,2,3,1,2,8,9,22,2,9,1,9,0,0,1,1,0,4,0,2,10,3,3,0,0,0,22,1,0,true
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RoadManager.java,kartracinggame.RoadManager,RoadManager/0,true,16,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RoadManager.java,kartracinggame.RoadManager,addRoad/1[java.awt.Rectangle],false,21,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SelectKartScene.java,kartracinggame.SelectKartScene,init/0,false,33,3,5,2,3,1,3,5,0,0,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,5,2,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SelectKartScene.java,kartracinggame.SelectKartScene,setupDisplay/1[java.awt.Graphics],false,76,2,2,0,2,3,16,38,0,4,1,16,0,0,0,1,0,2,12,33,4,15,1,0,0,0,28,1,0,false
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SelectKartScene.java,kartracinggame.SelectKartScene,"SelectKartScene/1[java.util.HashMap<java.lang.String,java.lang.Object>]",true,28,1,2,1,1,1,1,4,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
