file,class,method,variable,usage
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,setAngle/1[double],angle,2
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,setAction/1[kartracinggame.KartAction],action,2
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,"KartUpdateRequest/2[kartracinggame.KartAction,double]",action,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\KartUpdateRequest.java,kartracinggame.KartUpdateRequest,"KartUpdateRequest/2[kartracinggame.KartAction,double]",angle,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main$Anonymous1,windowClosing/1[java.awt.event.WindowEvent],ex,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Main.java,kartracinggame.Main$Anonymous1,windowClosing/1[java.awt.event.WindowEvent],e,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\SceneChangeListener.java,kartracinggame.SceneChangeListener,sceneChanged/1[kartracinggame.Scene],currentScene,0
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,"Status/2[int,java.lang.String]",code,2
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,"Status/2[int,java.lang.String]",text,2
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\Status.java,kartracinggame.Status,fromString/1[java.lang.String],codeStr,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,"RaceScene/1[java.util.HashMap<java.lang.String,java.lang.Object>]",params,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,initComponents/0,socketAddr,1
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,initComponents/0,item,2
C:\OOD\Java\Racing-Kart-Game-main\src\kartracinggame\RaceScene.java,kartracinggame.RaceScene,initComponents/0,data,2
