file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,class,2,3,1,2,12,1,0,17,28,0.0,0.0,0.0,8,8,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,64,0,4,0,0,1,24,16,13,3,13,1,0,0,0,26,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,class,2,3,1,2,16,1,0,12,0,0.4166667,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,2,89,0,1,1,0,4,36,9,8,20,6,3,0,0,0,46,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\LastManStanding.java,com.eatthatgame.robo.LastManStanding,class,1,1,0,1,3,1,0,4,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,1,19,0,0,0,0,1,4,0,3,2,4,0,0,0,0,19,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\TaniaLastManStanding.java,com.eatthatgame.robo.TaniaLastManStanding,class,3,3,0,3,20,2,0,17,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,139,0,2,0,0,32,56,32,31,41,13,3,0,0,0,60,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\Adam.java,com.eatthatgame.robo.contenders.Adam,class,1,2,1,1,7,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,14,17,0,0,1,0,0,0,37,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\John.java,com.eatthatgame.robo.contenders.John,class,1,2,1,1,6,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,9,10,0,0,1,0,0,0,11,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\HugoRobo.java,com.eatthatgame.robo.contenders.HugoRobo,class,1,2,1,1,11,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,22,19,0,0,1,0,0,0,10,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,class,3,8,5,3,6,1,5,3,4,0.89285713,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,14,0,0,0,2,12,0,0,0,119,1,1,0,0,0,6,5,10,0,16,2,0,2,0,114,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode$Team,innerclass,1,1,0,1,9,1,0,3,0,0.33333334,0.8,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,34,4,1,1,0,2,3,3,7,2,4,2,0,0,0,52,12,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\YogiBear.java,com.eatthatgame.robo.contenders.YogiBear,class,1,2,1,1,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,3,5,0,0,0,0,0,0,6,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\JayGundam.java,com.eatthatgame.robo.contenders.JayGundam,class,1,2,1,1,9,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,14,15,0,0,1,0,0,0,11,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\KingOfTheHill.java,com.eatthatgame.robo.KingOfTheHill,class,3,4,1,3,18,2,0,16,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,98,0,3,1,0,2,23,11,6,13,2,4,0,0,0,81,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\LoadImage.java,com.eatthatgame.examples.LoadImage$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\Tania.java,com.eatthatgame.robo.contenders.Tania,class,1,2,1,1,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,2,3,0,0,0,0,0,0,2,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Tournament.java,com.eatthatgame.robo.Tournament,class,3,4,1,3,13,2,0,11,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,48,0,6,1,0,4,14,12,12,8,8,2,0,0,0,28,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\TeamDeathmatch.java,com.eatthatgame.robo.TeamDeathmatch,class,4,5,1,4,20,2,0,15,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,111,0,1,0,0,12,49,20,18,32,8,3,0,0,0,50,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ShapesDemo2D.java,com.eatthatgame.examples.ShapesDemo2D,class,1,2,1,1,11,6,0,31,2,0.75,0.16666667,0.16666667,4,1,3,0,0,1,4,0,0,0,12,10,0,0,0,12,10,0,0,154,1,4,0,0,2,15,44,60,27,43,3,1,0,0,73,1,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp2v2.java,com.eatthatgame.robo.RandomMatchUp2v2,class,1,1,0,1,46,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,4,183,0,1,14,0,28,101,28,10,83,7,3,0,0,0,83,1,0
