file,class,method,variable,usage
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,RandomMatchUp/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],contenders,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,matchUp/0,contenders,8
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,matchUp/0,a,2
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,matchUp/0,b,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,matchUp/0,currentContenderID,4
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,battle/0,a,15
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,battle/0,b,15
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\LastManStanding.java,com.eatthatgame.robo.LastManStanding,matchUp/0,contenders,2
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\LastManStanding.java,com.eatthatgame.robo.LastManStanding,matchUp/0,a,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\LastManStanding.java,com.eatthatgame.robo.LastManStanding,matchUp/0,currentContenderID,2
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\LastManStanding.java,com.eatthatgame.robo.LastManStanding,LastManStanding/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],contenders,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,getWinner/0,contenders,4
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,Mode/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],contenders,2
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,Mode/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],teams,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,Mode/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],opponents,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,Mode/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],currentContenderID,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,Mode/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],groups,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode$Team,Team/1[java.lang.String],members,1
