file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,simpleArrayOutput/0,false,26,1,1,1,0,1,1,6,0,1,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,4,9,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,main/1[java.lang.String[]],false,16,1,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListForLoopOutput/0,false,49,0,0,0,0,2,4,8,0,2,0,4,0,0,1,0,0,1,4,2,2,2,1,0,0,0,7,10,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,hashMapIteratorOutput/0,false,82,0,0,0,0,2,7,12,0,4,0,7,0,0,1,0,0,0,7,0,4,1,1,0,0,0,11,10,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,simpleArrayForEachOutput/0,false,33,1,0,0,0,2,1,6,0,1,0,1,0,0,1,0,0,0,0,7,1,0,1,0,0,0,7,9,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListOutput/0,false,40,0,0,0,0,1,3,8,0,1,0,3,0,0,0,0,0,0,3,1,1,0,0,0,0,0,4,10,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListIteratorOutput/0,false,61,0,0,0,0,2,5,12,0,3,0,5,0,0,1,0,0,0,4,0,3,0,1,0,0,0,7,10,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,hashMapSimpleOutput/0,false,74,0,0,0,0,1,2,7,0,1,0,2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,5,10,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,RandomMatchUp/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],true,11,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,matchUp/0,false,15,2,1,0,1,4,6,21,0,0,0,6,1,1,0,1,0,2,10,3,5,4,1,0,0,0,17,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,battle/0,false,37,1,7,1,6,11,7,59,0,2,0,7,0,0,1,0,0,2,26,6,2,16,3,0,0,0,32,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\LastManStanding.java,com.eatthatgame.robo.LastManStanding,matchUp/0,false,15,1,0,0,0,1,4,8,0,0,0,4,0,0,0,0,0,1,4,0,2,2,0,0,0,0,15,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\LastManStanding.java,com.eatthatgame.robo.LastManStanding,battle/0,false,25,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\LastManStanding.java,com.eatthatgame.robo.LastManStanding,LastManStanding/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],true,11,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\TaniaLastManStanding.java,com.eatthatgame.robo.TaniaLastManStanding,TaniaLastManStanding/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],true,30,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\TaniaLastManStanding.java,com.eatthatgame.robo.TaniaLastManStanding,matchUp/0,false,35,2,11,0,11,19,17,134,0,13,0,17,0,0,2,0,0,32,56,32,31,41,3,0,0,0,53,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\Adam.java,com.eatthatgame.robo.contenders.Adam,AI/0,false,23,1,1,0,1,2,1,12,0,0,0,1,0,0,0,0,0,0,0,5,6,0,1,0,0,0,20,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\Adam.java,com.eatthatgame.robo.contenders.Adam,Adam/0,true,14,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\Adam.java,com.eatthatgame.robo.contenders.Adam,AI/1[com.eatthatgame.robo.Contender],false,45,1,1,0,1,4,1,17,0,0,1,1,0,0,0,0,0,0,0,8,9,0,1,0,0,0,23,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\John.java,com.eatthatgame.robo.contenders.John,John/0,true,9,0,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,1,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\John.java,com.eatthatgame.robo.contenders.John,AI/0,false,18,1,1,0,1,5,1,16,0,0,0,1,0,0,0,0,0,0,0,6,6,0,1,0,0,0,9,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\HugoRobo.java,com.eatthatgame.robo.contenders.HugoRobo,HugoRobo/0,true,7,0,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\HugoRobo.java,com.eatthatgame.robo.contenders.HugoRobo,AI/0,false,16,1,1,0,1,10,1,27,0,0,0,1,0,0,0,0,0,0,0,19,15,0,1,0,0,0,7,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,getWinner/0,false,75,1,2,2,0,3,2,11,1,2,0,2,0,0,1,0,0,0,0,2,3,0,2,0,0,0,27,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,Mode/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],true,38,3,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,38,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,battle/0,false,62,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,26,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode,matchUp/0,false,51,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,24,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode$Team,Team/1[java.lang.String],true,104,1,2,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode$Team,member/1[int],false,127,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode$Team,add/1[com.eatthatgame.robo.Contender],false,112,1,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode$Team,size/0,false,153,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode$Team,getName/0,false,119,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\Mode.java,com.eatthatgame.robo.Mode$Team,show/0,false,136,0,1,1,0,4,2,14,1,2,0,2,0,0,1,1,0,2,3,3,5,2,2,0,0,0,19,1,0,true
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\YogiBear.java,com.eatthatgame.robo.contenders.YogiBear,AI/0,false,15,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\YogiBear.java,com.eatthatgame.robo.contenders.YogiBear,YogiBear/0,true,7,0,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\JayGundam.java,com.eatthatgame.robo.contenders.JayGundam,JayGundam/0,true,8,0,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\JayGundam.java,com.eatthatgame.robo.contenders.JayGundam,AI/1[com.eatthatgame.robo.Contender],false,41,1,1,0,1,2,1,8,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9,1,0,false
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\contenders\JayGundam.java,com.eatthatgame.robo.contenders.JayGundam,AI/0,false,17,1,1,0,1,6,1,17,0,0,0,1,0,0,0,0,0,0,0,11,9,0,1,0,0,0,7,1,0,false
