file,class,method,variable,usage
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,simpleArrayOutput/0,a,3
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,main/1[java.lang.String[]],args,0
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListForLoopOutput/0,names,4
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListForLoopOutput/0,i,4
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,hashMapIteratorOutput/0,iterator,3
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,hashMapIteratorOutput/0,keys,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,hashMapIteratorOutput/0,australia,5
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,hashMapIteratorOutput/0,value,2
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,simpleArrayForEachOutput/0,a,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,simpleArrayForEachOutput/0,i,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListOutput/0,names,5
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListIteratorOutput/0,nameIterator,2
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListIteratorOutput/0,names,5
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,arrayListIteratorOutput/0,value,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\examples\ArrayExamples.java,com.eatthatgame.examples.ArrayExamples,hashMapSimpleOutput/0,australia,4
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,RandomMatchUp/1[java.util.ArrayList<com.eatthatgame.robo.Contender>],contendersList,1
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,battle/0,roundCount,9
C:\OOD\Java\Robo-master\RoboGame\src\com\eatthatgame\robo\RandomMatchUp.java,com.eatthatgame.robo.RandomMatchUp,battle/0,MAX_ROUNDS,2
