file,class,method,variable,usage
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,Student/0,firstName,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,Student/0,lastName,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,Student/0,semester,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,setStudentID/0,paymentID,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,setStudentID/0,semester,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,setStudentID/0,id,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,enroll/0,courses,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,enroll/0,costOfCourse,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,enroll/0,tuitionBalance,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,totalpay/0,tuitionBalance,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,payTuition/0,tuitionBalance,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,viewBalance/0,tuitionBalance,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,toString/0,firstName,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,toString/0,lastName,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,toString/0,courses,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,toString/0,paymentID,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,toString/0,semester,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,toString/0,tuitionBalance,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\ConsOverload.java,studentdatabaseapp.ConsOverload,ConsOverload/1[java.lang.String],name,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\ConsOverload.java,studentdatabaseapp.ConsOverload,ConsOverload/0,name,1
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\ConsOverload.java,studentdatabaseapp.ConsOverload,printName/0,name,1
