file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\overriding.java,studentdatabaseapp.overriding,myMethod/0,false,6,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,Student/0,true,15,1,2,1,1,3,5,22,0,2,0,5,1,1,1,1,1,0,6,3,6,0,2,0,0,0,17,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,setStudentID/0,false,43,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,6,2,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,enroll/0,false,50,0,1,1,0,3,4,18,0,2,0,4,0,0,1,1,0,0,6,2,4,2,2,0,0,0,14,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,totalpay/0,false,69,0,1,1,0,1,1,6,0,1,0,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,8,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,payTuition/0,false,82,1,2,1,1,3,4,21,0,3,0,4,1,1,1,1,1,0,5,3,5,2,2,0,0,0,17,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,viewBalance/0,false,77,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,toString/0,false,107,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,12,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\ConsOverload.java,studentdatabaseapp.ConsOverload,ConsOverload/1[java.lang.String],true,8,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\ConsOverload.java,studentdatabaseapp.ConsOverload,ConsOverload/0,true,11,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\ConsOverload.java,studentdatabaseapp.ConsOverload,printName/0,false,15,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\overriding.java,studentdatabaseapp.Demo,myMethod/0,false,13,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],false,9,3,10,0,10,2,9,22,0,9,1,9,0,0,1,0,0,0,3,1,10,1,1,0,0,0,22,9,0,false
