file,class,method,variable,usage
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,Student/0,in,4
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,Student/0,e,0
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,Student/0,x,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,enroll/0,in,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,enroll/0,course,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,totalpay/0,totPayment,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,payTuition/0,in,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,payTuition/0,e,0
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,payTuition/0,x,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\Student.java,studentdatabaseapp.Student,payTuition/0,payment,2
C:\OOD\Java\Student_Course_Enrollment_App-main\studentdatabaseapp\ConsOverload.java,studentdatabaseapp.ConsOverload,ConsOverload/1[java.lang.String],n,1
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],args,0
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],a,1
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],b,1
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],numOfStudents,2
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],in,2
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],ov,1
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],welStrng,1
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],students,5
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],welcome,1
C:\OOD\Java\Student_Course_Enrollment_App-main\StudentDatabaseApp.java,StudentDatabaseApp,main/1[java.lang.String[]],n,7
