file,class,method,variable,usage
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setBoard/1[Board],board,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setSocketIn/1[java.io.BufferedReader],socketIn,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,socketIn,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,opponent,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,myTurn,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,board,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,mark,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setName/1[java.lang.String],name,4
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,"Player/5[java.lang.String,char,Board,java.io.BufferedReader,java.io.PrintWriter]",socketIn,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,"Player/5[java.lang.String,char,Board,java.io.BufferedReader,java.io.PrintWriter]",socketOut,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setOpponent/1[Player],opponent,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setMark/1[char],mark,4
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],opponent,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],myTurn,11
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],name,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],board,3
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],mark,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],socketOut,7
