file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setBoard/1[Board],false,116,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setSocketIn/1[java.io.BufferedReader],false,156,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,false,92,2,3,1,2,2,6,14,0,2,0,6,1,1,0,0,1,0,0,2,3,0,1,0,0,0,41,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setName/1[java.lang.String],false,130,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,"Player/5[java.lang.String,char,Board,java.io.BufferedReader,java.io.PrintWriter]",true,43,2,6,1,5,1,5,7,0,0,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setOpponent/1[Player],false,109,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setMark/1[char],false,144,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],false,54,2,8,3,5,7,7,33,0,2,1,7,2,1,0,3,0,0,10,5,6,4,2,0,0,0,34,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setSocketOut/1[java.io.PrintWriter],false,153,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,getMark/0,false,137,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,getName/0,false,123,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,isMyTurn/0,false,147,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setMyTurn/1[int],false,150,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\OOD\Java\TicTacToe-master\Simple_Client_Server_App\src\Server.java,Server,communicate/0,false,50,1,2,1,1,3,4,13,0,1,0,4,1,1,1,0,1,0,1,0,3,0,2,0,0,0,22,1,0,true
C:\OOD\Java\TicTacToe-master\Simple_Client_Server_App\src\Server.java,Server,checkPalidrome/1[java.lang.String],false,68,0,1,1,0,4,2,10,2,3,1,2,0,0,1,2,0,0,3,3,4,4,2,0,0,0,28,2,0,true
C:\OOD\Java\TicTacToe-master\Simple_Client_Server_App\src\Server.java,Server,Server/0,true,39,0,1,1,0,2,1,8,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,17,1,0,true
C:\OOD\Java\TicTacToe-master\Simple_Client_Server_App\src\Server.java,Server,main/1[java.lang.String[]],false,86,1,2,0,2,2,8,15,0,1,1,8,1,2,0,0,1,0,1,0,4,0,1,0,0,0,34,9,0,true
C:\OOD\Java\TicTacToe-master\Date_Time_Server\src\DateServer.java,DateServer,getUserInput/0,false,35,0,1,1,0,6,10,27,0,5,0,10,0,0,1,1,0,0,6,0,6,0,3,0,0,0,22,1,0,true
C:\OOD\Java\TicTacToe-master\Date_Time_Server\src\DateServer.java,DateServer,DateServer/0,true,19,0,1,1,0,2,4,11,0,0,0,4,0,0,0,0,1,0,1,1,4,0,1,0,0,0,22,1,0,true
C:\OOD\Java\TicTacToe-master\Date_Time_Server\src\DateServer.java,DateServer,main/1[java.lang.String[]],false,67,1,2,0,2,1,1,4,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,9,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Referee.java,Referee,Referee/0,true,24,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Referee.java,Referee,setoPlayer/1[Player],false,39,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Referee.java,Referee,setxPlayer/1[Player],false,46,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Referee.java,Referee,runTheGame/0,false,29,1,3,1,2,1,2,6,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,actionPerformed/1[java.awt.event.ActionEvent],false,155,1,1,0,1,12,6,44,0,0,1,6,1,1,0,11,0,0,1,19,1,1,2,0,0,0,36,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,"TicTacGUI/2[java.lang.String,int]",true,50,2,3,1,2,3,4,15,0,0,2,4,1,1,0,0,1,0,0,0,4,0,1,0,0,0,41,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,communicate/0,false,240,2,5,1,4,10,10,49,0,2,0,10,3,1,2,4,4,0,5,5,4,3,5,0,0,0,74,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,"setCell/2[int,int]",false,196,1,2,1,1,2,5,13,0,0,2,5,0,0,0,0,1,0,0,0,3,0,1,0,0,0,25,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,setUp/0,false,212,0,1,1,0,4,8,21,0,0,0,8,0,0,1,1,2,0,2,3,2,0,2,0,0,0,37,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,"setOppCell/2[int,int]",false,294,0,1,1,0,19,2,29,0,0,2,2,0,0,0,18,0,0,0,18,0,0,1,0,0,0,20,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,closeSocket/0,false,318,0,1,1,0,2,3,9,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,2,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,gui/0,false,69,0,1,1,0,1,11,70,0,11,0,11,0,0,0,0,0,0,18,16,23,0,0,0,0,0,64,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacGUI.java,TicTacGUI,main/1[java.lang.String[]],false,332,1,2,0,2,2,2,9,0,1,1,2,1,2,0,0,1,0,1,1,1,0,1,0,0,0,22,9,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,getSongName/0,false,60,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,"MusicRecord/4[int,java.lang.String,java.lang.String,double]",true,25,1,4,0,4,1,4,6,0,0,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,setPrice/1[double],false,81,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,getPurchasePrice/0,false,88,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,getSingerName/0,false,74,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,setSingerName/1[java.lang.String],false,67,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,MusicRecord/0,true,17,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,11,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,setYear/1[int],false,37,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,setSongName/1[java.lang.String],false,52,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\MusicRecord.java,MusicRecord,getYear/0,false,45,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,"getMark/2[int,int]",false,39,0,2,2,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,"addMark/3[int,int,char]",false,91,0,4,4,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,isFull/0,false,46,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,displayColumnHeaders/0,false,157,0,1,1,0,2,2,5,0,1,0,2,0,0,1,0,0,0,2,2,1,1,1,0,0,0,14,0,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,addSpaces/0,false,175,0,1,1,0,2,2,5,0,1,0,2,0,0,1,0,0,0,3,2,1,0,1,0,0,0,17,0,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,Board/0,true,24,1,3,3,0,3,0,8,0,2,0,0,0,0,2,0,0,0,0,7,6,0,2,0,0,0,33,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,oWins/0,false,63,1,2,1,1,2,1,4,2,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,21,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,display/0,false,72,1,5,1,4,3,6,12,0,2,0,6,4,1,2,0,0,0,4,4,2,2,2,0,0,0,22,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,checkWinner/1[char],false,113,0,2,2,0,23,0,25,1,7,1,0,0,0,6,16,0,0,0,39,19,1,3,0,0,0,44,0,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,xWins/0,false,53,1,2,1,1,2,1,4,2,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,21,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,addHyphens/0,false,166,0,1,1,0,2,2,5,0,1,0,2,0,0,1,0,0,0,3,2,1,0,1,0,0,0,15,0,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Board.java,Board,clear/0,false,98,0,0,0,0,3,0,4,0,2,0,0,0,0,2,0,0,0,0,5,4,0,2,0,0,0,29,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,run/0,false,52,3,6,0,6,4,8,33,0,5,0,8,1,1,0,0,3,0,2,0,5,0,1,0,0,0,46,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,setSocket1In/1[java.io.BufferedReader],false,98,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,setSocket2Out/1[java.io.PrintWriter],false,92,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,appointReferee/1[Referee],false,42,1,2,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,getSocket1Out/0,false,83,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,setSocket1Out/1[java.io.PrintWriter],false,86,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,getSocket1In/0,false,95,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,getSocket2In/0,false,101,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,setSocket2In/1[java.io.BufferedReader],false,104,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,"Game/4[java.io.PrintWriter,java.io.PrintWriter,java.io.BufferedReader,java.io.BufferedReader]",true,30,2,6,1,5,1,4,7,0,0,4,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,18,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Game.java,Game,getSocket2Out/0,false,89,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\ReadRecord.java,ReadRecord,readObjectsFromFile/1[java.lang.String],false,22,1,5,1,4,5,7,22,0,2,1,7,0,0,1,0,2,0,4,0,4,1,2,0,0,0,32,2,0,true
C:\OOD\Java\TicTacToe-master\Serialization_and_Deserialization_of_Java_Objects\src\ReadRecord.java,ReadRecord,main/1[java.lang.String[]],false,62,1,2,0,2,1,1,4,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,5,9,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacClient.java,TicTacClient,closeSocket/0,false,154,0,1,1,0,2,3,10,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13,2,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacClient.java,TicTacClient,setTurn/1[int],false,177,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacClient.java,TicTacClient,setUp/0,false,65,0,1,1,0,3,5,17,0,0,0,5,0,0,1,1,1,0,4,2,4,0,2,0,0,0,18,1,0,true
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\TicTacClient.java,TicTacClient,getOppMark/0,false,180,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
