file,class,method,variable,usage
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setBoard/1[Board],theBoard,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setSocketIn/1[java.io.BufferedReader],socketIn2,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,e,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,colMove,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,makeMove/0,rowMove,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setName/1[java.lang.String],name,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,"Player/5[java.lang.String,char,Board,java.io.BufferedReader,java.io.PrintWriter]",b,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,"Player/5[java.lang.String,char,Board,java.io.BufferedReader,java.io.PrintWriter]",socketIn,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,"Player/5[java.lang.String,char,Board,java.io.BufferedReader,java.io.PrintWriter]",m,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,"Player/5[java.lang.String,char,Board,java.io.BufferedReader,java.io.PrintWriter]",n,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,"Player/5[java.lang.String,char,Board,java.io.BufferedReader,java.io.PrintWriter]",socketOut,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setOpponent/1[Player],p,1
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,setMark/1[char],mark,2
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],winner,5
C:\OOD\Java\TicTacToe-master\TicTacToe_With_ThreadPool\src\Player.java,Player,play/1[int],turn,2
