file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,enum,2,5,3,2,12,1,0,8,11,0.6666667,0.13333334,0.2,6,3,5,0,0,1,6,0,0,0,2,0,0,2,0,0,2,0,3,45,6,3,0,0,0,13,2,7,3,5,1,0,0,0,65,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,class,9,10,1,9,14,2,0,13,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,15,104,2,3,4,0,1,16,22,45,0,22,3,0,0,0,98,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,class,2,6,4,2,9,1,0,9,0,0,1,1,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,3,35,3,1,2,0,0,3,2,3,0,3,2,0,0,0,61,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,innerclass,4,4,0,4,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,5,0,5,0,0,0,5,0,0,14,0,0,0,0,0,0,0,5,0,5,0,0,0,0,34,25,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\utility\PresetDecks.java,utility.PresetDecks,class,3,4,1,3,3,1,0,3,3,0,0,0,3,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,120,150,0,0,0,0,0,0,0,85,17,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\game\Game.java,game.Game$Round,innerclass,2,2,0,2,8,1,0,3,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,40,0,2,3,0,0,0,6,16,0,10,3,0,0,0,41,18,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Hand.java,cards.Hand,class,3,8,5,3,23,1,0,7,0,0.48148152,0.8611111,1,9,0,9,0,0,0,9,0,0,0,3,1,1,2,0,0,2,0,4,74,5,3,9,0,1,8,11,9,0,7,2,0,0,0,86,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\game\Game.java,game.Game,class,15,20,5,15,59,1,0,80,0,0.73333335,0.47619048,1,15,0,6,8,0,1,7,0,0,0,11,0,0,11,0,0,7,0,51,296,6,16,5,2,0,96,21,36,32,27,5,0,1,0,310,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\utility\Util.java,utility.Util,class,1,15,14,1,33,1,0,30,78,0,0,0,13,13,12,1,0,0,12,0,9,0,0,0,0,0,0,0,0,0,23,128,8,4,2,4,0,38,5,25,12,14,3,0,0,0,124,17,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\game\Board.java,game.Board,class,9,15,6,9,28,1,0,36,0,0.6363636,0.73333335,1,11,0,6,5,0,0,6,0,0,0,4,0,0,4,0,0,4,0,13,139,5,8,2,0,1,17,9,18,7,14,2,0,1,0,134,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player,class,10,20,10,10,35,1,2,10,168,0.83555555,0.22,0.7733333,25,0,25,0,0,0,25,1,0,0,9,0,0,9,0,0,1,0,6,125,14,0,10,0,0,12,3,17,1,10,1,0,1,0,115,1025,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\DeckFaction.java,cards.DeckFaction,enum,1,5,4,1,7,1,0,0,2,0.5,0.33333334,0.5,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,25,5,0,0,0,0,11,0,2,1,2,1,0,0,0,78,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Deck.java,cards.Deck$DeckIterator,innerclass,2,2,0,2,5,1,0,1,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,15,2,0,0,0,0,0,0,1,0,1,1,0,0,0,21,18,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Human.java,players.Human,class,10,11,1,10,8,2,0,23,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,66,2,2,1,0,0,27,15,19,7,11,2,0,0,0,92,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Card.java,cards.Card,class,4,18,14,4,28,1,0,18,107,0.83684206,0.1871345,0.8947368,19,0,19,0,0,0,19,0,0,0,10,1,1,9,0,0,1,0,4,141,10,6,1,0,0,32,15,47,17,33,2,0,0,0,116,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\game\Board.java,game.Board$TimedAttribute,innerclass,4,4,0,4,1,1,0,3,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,6,0,6,0,0,0,6,0,1,17,0,0,0,0,0,1,0,6,0,6,0,0,0,0,25,10,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Attribute.java,cards.Attribute,class,3,10,7,3,13,1,0,6,14,0.73015875,0.30555555,1,9,0,9,0,0,0,9,0,0,0,7,0,0,7,0,0,2,0,5,67,7,0,0,0,0,6,2,8,4,8,2,0,0,0,86,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Deck.java,cards.Deck,class,7,11,4,7,17,1,0,11,21,0.7386364,0.2777778,0.5833333,11,1,9,2,0,0,9,0,0,0,8,1,0,8,0,0,3,0,8,99,6,1,2,0,2,6,8,25,5,15,1,0,1,0,101,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\game\Main.java,game.Main,class,2,2,0,2,2,1,0,8,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,1,0,0,5,3,6,0,6,1,0,0,0,52,1,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\AttributeType.java,cards.AttributeType,enum,1,4,3,1,7,1,0,0,2,0.5,0.33333334,0.5,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,0,25,5,0,0,0,0,11,0,2,1,2,1,0,0,0,61,1,0
,,,4.7,,,,,1.1,,,20.35,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,
