file,class,method,variable,usage
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getFromString/1[java.lang.String],RANDOM,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getFromString/1[java.lang.String],DUMB,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getFromString/1[java.lang.String],LOGICAL,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,"ComputerType/2[java.lang.String,java.lang.String]",name,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,"ComputerType/2[java.lang.String,java.lang.String]",description,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getName/0,name,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getDescription/0,description,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",type,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,getType/0,type,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"Computer/3[int,java.lang.String,players.ComputerType]",type,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,containsCard/1[cards.Card],yard,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,printGraveyard/0,yard,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,addCard/1[cards.Card],yard,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,numCardsGraveyard/0,yard,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,Graveyard/0,yard,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,removeCard/1[int],yard,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,"PlayData/5[players.Player,cards.Card,cards.Attribute,players.Player,int[]]",card_played,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,"PlayData/5[players.Player,cards.Card,cards.Attribute,players.Player,int[]]",targetids,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,"PlayData/5[players.Player,cards.Card,cards.Attribute,players.Player,int[]]",targeted_ply,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,"PlayData/5[players.Player,cards.Card,cards.Attribute,players.Player,int[]]",at_played,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,"PlayData/5[players.Player,cards.Card,cards.Attribute,players.Player,int[]]",player,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\game\Game.java,game.Game$Round,Round/0,winners,3
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\game\Game.java,game.Game$Round,Round/0,number,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\game\Game.java,game.Game$Round,Round/0,score,2
