file,class,method,variable,usage
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getTypesAsStrings/0,arr,3
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getTypesAsStrings/0,types,3
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getTypesAsStrings/0,i,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getTypesAsStrings/0,typ,3
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,getFromString/1[java.lang.String],str,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,"ComputerType/2[java.lang.String,java.lang.String]",name,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,"ComputerType/2[java.lang.String,java.lang.String]",description,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\ComputerType.java,players.ComputerType,printDescription/0,typ,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",card_played,13
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",nhand,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",targetids,10
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",in,0
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",cindex,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",players,6
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",cards_on_selected_board,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",at_played_num_targets,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",at_played_num_targets1,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",at_played_num_targets0,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",i,11
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",cindex1,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",cindex0,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",tindex,11
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",targeted_ply,16
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",cards_on_selected_board0,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",at_played,10
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",cards_on_selected_board1,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",rn,4
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"play/3[java.util.Scanner,players.Player[],game.Board]",board,3
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"Computer/3[int,java.lang.String,players.ComputerType]",name,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"Computer/3[int,java.lang.String,players.ComputerType]",id,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Computer.java,players.Computer,"Computer/3[int,java.lang.String,players.ComputerType]",type,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,containsCard/1[cards.Card],card,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,printGraveyard/0,c,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,printGraveyard/0,i,3
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,addCard/1[cards.Card],card,3
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,removeCard/1[int],index,1
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\cards\Graveyard.java,cards.Graveyard,removeCard/1[int],card,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,"PlayData/5[players.Player,cards.Card,cards.Attribute,players.Player,int[]]",card_played,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,"PlayData/5[players.Player,cards.Card,cards.Attribute,players.Player,int[]]",targetids,2
C:\OOD\Java\console-card-game-master\ConsoleCardGame\src\players\Player.java,players.Player$PlayData,"PlayData/5[players.Player,cards.Card,cards.Attribute,players.Player,int[]]",targeted_ply,2
