file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,class,5,6,1,5,11,1,0,13,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,4,48,2,3,1,1,0,6,6,13,0,10,5,0,0,0,29,0,0
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,class,0,5,5,0,3,1,0,3,0,0.13333334,1.0,1.0,3,0,2,0,0,1,3,0,0,0,5,0,0,0,0,5,0,0,0,19,2,0,0,0,0,11,0,5,2,5,0,0,0,0,13,0,0
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,class,1,3,2,1,9,1,0,7,4,0.5,0.33333334,0.33333334,5,1,3,2,0,0,3,0,0,0,2,0,0,2,0,0,0,0,2,35,6,0,0,1,2,2,4,6,2,5,1,0,0,0,22,1,0
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,class,3,6,3,3,11,1,0,18,0,0.2,0.6,0.6,5,0,4,0,0,1,5,0,0,0,1,0,0,0,0,1,0,0,7,53,3,2,1,2,0,9,11,12,0,12,3,0,0,0,36,1,0
C:\OOD\Java\java-ecommerce-cli-main\src\LastLine.java,src.LastLine,class,0,1,1,0,10,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,3,1,6,2,0,1,5,7,2,6,4,0,0,0,24,1,0
C:\OOD\Java\java-ecommerce-cli-main\src\User.java,src.User,class,2,6,4,2,11,1,0,16,0,0.41666666,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,6,0,0,1,0,5,0,0,3,56,4,1,1,2,0,11,5,14,1,11,4,0,0,0,37,1,0
C:\OOD\Java\java-ecommerce-cli-main\src\Utils.java,src.Utils,class,3,8,5,3,25,1,0,28,21,0.0,0.0,0.0,7,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,33,114,7,6,0,1,0,20,11,17,6,13,3,0,0,0,37,1,0
C:\OOD\Java\java-ecommerce-cli-main\src\Driver.java,src.Driver,class,9,10,1,9,27,1,0,23,1,0.44444445,0.33333334,0.33333334,3,3,3,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,26,136,3,3,9,0,0,29,17,20,2,18,5,0,0,0,53,1,0
C:\OOD\Java\java-ecommerce-cli-main\src\Print.java,src.Print,class,4,9,5,4,21,1,0,28,28,0.8518519,0.027777778,0.027777778,9,9,9,0,0,0,9,0,0,0,6,6,6,0,0,0,6,0,27,108,2,9,1,0,4,80,7,30,7,28,2,0,0,0,62,1,0
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Order,class,5,9,4,5,13,1,0,16,0,0.6571429,0.2857143,0.2857143,7,0,6,0,0,1,7,0,0,0,5,0,0,0,0,5,0,0,8,63,2,2,0,1,0,16,5,12,3,10,2,0,0,0,50,1,0
