file,class,method,variable,usage
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,Orders/0,orders,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,getAllOrders/0,orders,1
C:\OOD\Java\java-ecommerce-cli-main\src\Order.java,src.Orders,printCartOf/1[int],orders,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,toString/0,price,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,toString/0,name,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,toString/0,description,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,toString/0,id,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",price,3
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",name,3
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",description,3
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,"Product/4[java.lang.Integer,java.lang.String,double,java.lang.String]",id,3
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,csvString/0,price,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,csvString/0,name,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,csvString/0,description,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,csvString/0,id,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Product,csvString/0,isActive,1
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,sendOtp/1[java.lang.String],phone,1
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,sendOtp/1[java.lang.String],otp,4
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,"validateOtp/2[java.lang.String,java.lang.String]",phone,3
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,"validateOtp/2[java.lang.String,java.lang.String]",otp,3
C:\OOD\Java\java-ecommerce-cli-main\src\PhoneOtp.java,src.PhoneOtp,PhoneOtp/1[java.lang.String],phone,3
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,productIdToProduct/1[int],products,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,Products/0,products,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,addProduct/1[java.util.Scanner],products,1
C:\OOD\Java\java-ecommerce-cli-main\src\Products.java,src.Products,getProducts/0,products,1
C:\OOD\Java\java-ecommerce-cli-main\src\User.java,src.User,addUserToFile/1[src.User],inDB,2
